configuration	io_mode	dataset	read_mode	rank_count	log	pipeline_total_min	pipeline_total_median	pipeline_total_max	pipeline_total_mean	pipeline_total_max_over_median	stage1_min	stage1_median	stage1_max	stage1_mean	stage1_max_over_median	stage2_min	stage2_median	stage2_max	stage2_mean	stage2_max_over_median	stage3_min	stage3_median	stage3_max	stage3_mean	stage3_max_over_median	sam_output_writes_min	sam_output_writes_median	sam_output_writes_max	sam_output_writes_mean	sam_output_writes_max_over_median	fread_time_min	fread_time_median	fread_time_max	fread_time_mean	fread_time_max_over_median	fread_bandwidth_min	fread_bandwidth_median	fread_bandwidth_max	fread_bandwidth_mean	fread_bandwidth_max_over_median	slowest_fread_min	slowest_fread_median	slowest_fread_max	slowest_fread_mean	slowest_fread_max_over_median	worker_total_min	worker_total_median	worker_total_max	worker_total_mean	worker_total_max_over_median	worker_part1_min	worker_part1_median	worker_part1_max	worker_part1_mean	worker_part1_max_over_median	worker_part2_min	worker_part2_median	worker_part2_max	worker_part2_mean	worker_part2_max_over_median	worker_part3_min	worker_part3_median	worker_part3_max	worker_part3_mean	worker_part3_max_over_median	worker_part4_min	worker_part4_median	worker_part4_max	worker_part4_mean	worker_part4_max_over_median	worker_part5_min	worker_part5_median	worker_part5_max	worker_part5_mean	worker_part5_max_over_median	worker_part6_min	worker_part6_median	worker_part6_max	worker_part6_mean	worker_part6_max_over_median	output_flush_time_min	output_flush_time_median	output_flush_time_max	output_flush_time_mean	output_flush_time_max_over_median	output_bandwidth_min	output_bandwidth_median	output_bandwidth_max	output_bandwidth_mean	output_bandwidth_max_over_median	raw_fastq_bytes_sum	skew_flags	bottleneck_flags	flags
mpi_static_split	has1	ERR1203383	PE	6	mpi_static_split/has1/ERR1203383_PE.run.log	186.364	186.4185	186.46	186.415	1.0002226173904414	25.972	27.4925	30.568	28.009	1.1118668727834864	54.274	57.429	103.041	64.7355	1.7942328788591129	51.641	53.0925	57.144	53.4915	1.0763102133069642	49.733	51.074	54.972	51.51916666666667	1.0763206328072992	25.707	27.3075	30.268	27.781666666666666	1.1084134395312644	36.753	40.7565	43.274	40.1805	1.0617692883343761	0.752	0.845	0.924	0.8421666666666666	1.093491124260355	54.266	57.422	103.034	64.7275	1.7943296994183415	0.853	0.8705	0.918	0.8795000000000001	1.054566341183228	0.412	0.431	0.452	0.43	1.048723897911833	52.052	55.199	100.831	62.48383333333334	1.8266816427833839	0.358	0.366	0.418	0.37366666666666665	1.1420765027322404	0.531	0.54	0.614	0.5518333333333333	1.1370370370370368	0.001	0.001	0.001	0.001	1.0	46.676268	49.806567	51.106285	49.257012399999994	1.026095313897061	25.065	25.512	27.603	25.9446	1.081961429915334	6998859016	stage2 rank skew 1.79x		stage2 rank skew 1.79x
mpi_static_single	has1	ERR1203383	PE	6	mpi_static_single/has1/ERR1203383_PE.run.log	206.271	206.276	206.278	206.27499999999998	1.0000096957474451	17.552	18.569	19.007	18.415166666666668	1.0235876999299909	54.28	57.3815	103.333	64.70483333333333	1.8008068802662878	83.711	86.551	90.108	86.87716666666667	1.0410971565897564	81.749	84.718	87.927	84.92399999999999	1.037878609032319	17.274	18.3315	18.714	18.198166666666665	1.02086572293593	59.443	60.688	64.399	61.175000000000004	1.061148826786185	0.768	0.8365	0.853	0.8184999999999999	1.0197250448296473	54.269	57.375	103.322	64.69616666666667	1.8008191721132898	0.855	0.8634999999999999	0.901	0.8726666666666666	1.043427909669948	0.409	0.4375	0.457	0.4363333333333333	1.0445714285714287	52.044	55.141999999999996	101.091	62.447333333333326	1.8332849733415546	0.364	0.367	0.414	0.37433333333333335	1.1280653950953679	0.519	0.5425	0.638	0.556	1.1760368663594472	0.001	0.001	0.002	0.0011666666666666668	2.0	79.00969	83.523859	85.675231	83.1608885	1.0257575742519272	14.798	15.323	16.107	15.377666666666665	1.0511649154865235	6998859016	stage2 rank skew 1.80x	low output BW 15.3 MiB/s	stage2 rank skew 1.80x; low output BW 15.3 MiB/s
mpi_dynamic_split	has1	ERR1203383	PE	6	mpi_dynamic_split/has1/ERR1203383_PE.run.log	187.42	187.426	187.429	187.42516666666666	1.00001600631716	28.145	29.6865	32.584	29.992666666666665	1.0976032876896908	56.113	57.743	97.567	64.92933333333333	1.6896766707652875	53.453	58.597	61.431	57.88433333333333	1.0483642507295594	51.272	56.6045	59.146	55.82666666666666	1.0448992571262001	25.951	26.6135	27.679	26.782833333333333	1.0400360719183872	39.398	41.275000000000006	44.308	41.564	1.073482737734706	0.796	0.9145	1.012	0.9061666666666667	1.1066156369600875	56.105	57.7345	97.558	64.921	1.689769548536837	0.858	0.8775	0.947	0.891	1.0792022792022793	0.418	0.432	0.445	0.43050000000000005	1.0300925925925926	53.868	55.525	95.055	62.6335	1.7119315623592979	0.369	0.3725	0.444	0.3875	1.1919463087248323	0.522	0.544	0.668	0.5685	1.2279411764705883	0.001	0.001	0.002	0.0013333333333333333	2.0	48.204119	53.3908895	55.989896	52.67759266666667	1.0486788387370847	22.231	24.648	27.692	24.613	1.123498864005193	6998562696	stage2 rank skew 1.69x; chunk 177 takes 41.8s		stage2 rank skew 1.69x; chunk 177 takes 41.8s
mpi_dynamic_single	has1	ERR1203383	PE	6	mpi_dynamic_single/has1/ERR1203383_PE.run.log	238.295	238.296	238.3	238.2965	1.0000167858461746	18.028	19.7765	23.319	20.147499999999997	1.1791267413344122	55.658	57.5175	98.564	64.84833333333334	1.7136349806580604	118.241	123.952	127.518	123.53816666666667	1.028769200981025	116.312	121.8965	125.511	121.53466666666667	1.0296522049443584	16.999	17.579	21.97	18.4845	1.2497866772853972	51.207	62.9105	65.129	60.63399999999999	1.0352643835289816	0.872	0.886	0.998	0.9111666666666666	1.1264108352144468	55.649	57.5095	98.552	64.839	1.713664698875838	0.854	0.868	0.927	0.8798333333333334	1.0679723502304148	0.425	0.439	0.458	0.4386666666666667	1.0432801822323463	53.313	55.263000000000005	96.295	62.59516666666667	1.7424859309121834	0.36	0.373	0.394	0.37433333333333335	1.0563002680965148	0.514	0.534	0.581	0.5406666666666667	1.0880149812734081	0.001	0.001	0.001	0.001	1.0	113.041551	119.660215	124.350949	119.36872916666665	1.0392004477010175	10.055	10.778	11.462	10.716833333333334	1.0634626090183708	6998562696	stage2 rank skew 1.71x; chunk 177 takes 41.8s	low output BW 10.8 MiB/s	stage2 rank skew 1.71x; chunk 177 takes 41.8s; low output BW 10.8 MiB/s
mpi_static_split	has1	ERR1203383	SE	6	mpi_static_split/has1/ERR1203383_SE.run.log	80.955	80.99549999999999	81.018	80.99216666666666	1.000277793210734	14.063	16.804000000000002	17.305	16.354166666666668	1.029814329921447	23.501	24.659	31.486	25.563833333333335	1.2768563202076322	26.974	31.2515	31.927	30.063833333333335	1.021614962481801	25.797	30.299	31.005	29.0725	1.023301099046173	14.054	16.677500000000002	17.173	16.246	1.0297106880527656	32.39	33.351	39.578	34.40416666666667	1.1867110431471322	0.737	0.903	0.911	0.874	1.008859357696567	23.491	24.6495	31.475	25.552666666666667	1.2769021684009818	0.868	0.881	0.967	0.8936666666666667	1.097616345062429	0.297	0.3155	0.34	0.31583333333333335	1.0776545166402536	21.71	22.808999999999997	29.657	23.745166666666666	1.3002323644175546	0.183	0.188	0.199	0.18899999999999997	1.0585106382978724	0.386	0.4	0.407	0.3981666666666667	1.0174999999999998	0.001	0.001	0.002	0.0011666666666666668	2.0	27.314969	29.51222	30.56295	28.9634234	1.0356032179212544	18.678	19.209	20.945	19.7546	1.0903743037118019	3499429508		low output BW 19.2 MiB/s	low output BW 19.2 MiB/s
mpi_static_single	has1	ERR1203383	SE	6	mpi_static_single/has1/ERR1203383_SE.run.log	85.703	85.7055	85.711	85.706	1.0000641732444242	10.044	10.183	11.158	10.379666666666667	1.0957478149857605	23.455	24.445	31.465	25.474999999999998	1.2871752914706485	38.619	41.263999999999996	44.166	41.1835	1.070327646374564	37.714	40.311	43.09	40.229	1.0689389992805935	9.905	10.092	11.024	10.261166666666666	1.0923503765358697	50.457	55.1175	56.155	54.28666666666667	1.018823422687894	0.766	0.803	0.819	0.7995000000000001	1.0199252801992527	23.44	24.436	31.452	25.463166666666666	1.2871173678179735	0.853	0.871	0.905	0.8728333333333333	1.0390355912743974	0.289	0.3115	0.343	0.314	1.101123595505618	21.669	22.6575	29.68	23.676333333333332	1.3099415204678364	0.185	0.189	0.199	0.19000000000000003	1.052910052910053	0.391	0.396	0.402	0.39633333333333337	1.0151515151515151	0.0	0.0005	0.001	0.0005	2.0	40.728923	41.316511500000004	42.717391	41.594102666666664	1.0339060450444852	13.471	13.931	14.037	13.807400000000001	1.0076089297250737	3499429508		low output BW 13.9 MiB/s	low output BW 13.9 MiB/s
mpi_dynamic_split	has1	ERR1203383	SE	6	mpi_dynamic_split/has1/ERR1203383_SE.run.log	75.54	75.5415	75.547	75.54216666666667	1.0000728076620136	14.225	15.4985	17.848	15.583666666666666	1.1515953156757104	23.674	24.1145	30.977	25.576333333333334	1.2845798171224783	26.141	28.2605	29.302	27.945166666666665	1.0368535588542311	25.033	27.27	28.176	26.924166666666668	1.0332233223322331	11.971	13.509	14.767	13.549333333333331	1.0931231031164408	38.045	40.2525	45.424	41.222166666666666	1.1284764921433452	0.676	0.705	0.875	0.7351666666666666	1.2411347517730498	23.666	24.103	30.965	25.566333333333333	1.284694851263328	0.854	0.876	0.919	0.8845000000000001	1.0490867579908676	0.29	0.304	0.33	0.30633333333333335	1.0855263157894737	21.855	22.3505	29.17	23.778833333333335	1.3051162166394488	0.177	0.182	0.214	0.18816666666666668	1.1758241758241759	0.356	0.396	0.44	0.4001666666666666	1.1111111111111112	0.0	0.001	0.001	0.0006666666666666666	1.0	23.967533	27.084845	27.878293	26.3112455	1.0292949064319916	19.96	20.57	25.693	21.8305	1.2490520175012154	3499281348			
mpi_dynamic_single	has1	ERR1203383	SE	6	mpi_dynamic_single/has1/ERR1203383_SE.run.log	82.487	82.4915	82.497	82.49216666666666	1.0000666735360613	10.428	10.8035	11.473	10.857333333333335	1.0619706576572407	22.921	24.8525	31.028	25.56833333333333	1.24848606780002	39.9	43.47	45.046	43.1735	1.0362548884288014	38.981	42.400999999999996	44.094	42.20316666666667	1.039928303577746	9.398	9.7135	10.222	9.706999999999999	1.0523498224121068	53.83	57.6215	61.85	57.34633333333333	1.0733840667112102	0.633	0.73	0.762	0.7094999999999999	1.0438356164383562	22.916	24.8385	31.019	25.558666666666667	1.248827425166576	0.84	0.874	0.945	0.8811666666666667	1.0812356979405033	0.296	0.318	0.336	0.31633333333333336	1.0566037735849056	21.222	23.039	29.212	23.767166666666668	1.2679369764312687	0.173	0.1875	0.207	0.18916666666666668	1.1039999999999999	0.362	0.4015	0.423	0.39466666666666667	1.053549190535492	0.0	0.001	0.001	0.0008333333333333334	1.0	37.389936	42.706891	44.578771	42.20111833333333	1.0438308656090185	12.101	13.4505	15.515	13.604666666666667	1.1534887178915283	3499281348		low output BW 13.5 MiB/s	low output BW 13.5 MiB/s
mpi_static_split	has1	small_SRR7963242	PE	6	mpi_static_split/has1/small_SRR7963242_PE.run.log	311.266	311.398	311.525	311.4051666666667	1.0004078382006305	24.933	26.990499999999997	29.597	27.09183333333333	1.0965710157277562	224.223	225.8645	240.637	228.1643333333333	1.065404257862568	40.139	44.076	48.081	44.14516666666666	1.0908657772937653	38.888	42.7245	46.803	42.869499999999995	1.0954604500930378	24.737	26.8075	29.456	26.91133333333333	1.0987969784575211	40.963	45.0105	48.778	45.0095	1.0837026915941836	0.962	1.093	1.447	1.146	1.3238792314730101	224.211	225.85000000000002	240.623	228.15033333333335	1.0654106707992028	0.94	0.94	0.94	0.94	1.0	0.439	0.444	0.476	0.453	1.072072072072072	221.971	223.428	238.278	227.89233333333334	1.0664643643589882	0.239	0.24	0.259	0.246	1.0791666666666668	0.589	0.632	0.636	0.619	1.0063291139240507	0.002	0.002	0.002	0.002	1.0	37.717664	41.198432499999996	45.225567	41.61136483333333	1.0977497020062597	29.607	32.613	35.499	32.33266666666667	1.0884923190138902	7591401288			
mpi_static_single	has1	small_SRR7963242	PE	6	mpi_static_single/has1/small_SRR7963242_PE.run.log	295.001	295.005	295.008	295.00466666666665	1.000010169319164	17.595	20.171	21.683	20.087833333333332	1.0749590996975857	224.434	227.92399999999998	239.944	230.0205	1.0527368772046823	33.354	37.1095	42.752	37.999500000000005	1.1520500141473209	32.036	35.891999999999996	41.423	36.749833333333335	1.1541011924662878	17.58	19.9495	21.427	19.88383333333333	1.0740620065665805	56.314	60.4845	68.638	60.907333333333334	1.1348031313807672	0.786	0.972	0.993	0.9186666666666667	1.021604938271605	224.417	227.9155	239.931	230.00750000000002	1.0527190998418274	0.894	0.9165000000000001	0.929	0.916	1.0136388434260775	0.426	0.441	0.469	0.4463333333333333	1.0634920634920635	222.13	225.739	237.699	227.7785	1.0529815406287792	0.231	0.244	0.259	0.24366666666666667	1.0614754098360657	0.535	0.6125	0.659	0.6084999999999999	1.0759183673469388	0.001	0.001	0.001	0.001	1.0	30.348639	34.0598385	40.061519	35.1441965	1.1762098930680485	33.533	39.522999999999996	44.303	38.6625	1.1209422361662829	7591401288			
