configuration	io_mode	dataset	read_mode	rank	world_size	pipeline_total	stage1	stage2	stage3	sam_output_writes	fread_time	fread_bandwidth	slowest_fread	raw_fastq_bytes	worker_total	worker_part1	worker_part2	worker_part3	worker_part4	worker_part5	worker_part6	output_flush_time	output_bandwidth	output_rma_flush_time	claimed_chunks	completed_records	claimed_input_bytes	slowest_chunk	slowest_chunk_stage2	log
mpi_dynamic_single	has1	ERR1203383	PE	0	6	238.295	18.852	57.521	125.583	123.482	17.273	65.129	0.888	1179648288	57.516	0.904	0.427	55.243	0.375	0.56	0.001	121.539824	10.599	0.000244	30	2576958	589824144	66	2.458732	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	PE	1	6	238.295	23.319	57.514	121.89	120.002	21.97	51.207	0.884	1179648336	57.503	0.872	0.443	55.283	0.37	0.521	0.001	117.780606	10.957	0.125319	30	2574961	589824168	67	2.345658	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	PE	2	6	238.3	18.028	55.658	127.518	125.511	16.999	63.975	0.951	1140327336	55.649	0.927	0.425	53.313	0.394	0.581	0.001	124.350949	10.055	0.118296	29	2488930	570163668	2	2.370005	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	PE	3	6	238.295	21.255	98.564	118.241	116.312	17.589	63.924	0.872	1178966472	98.552	0.864	0.458	96.295	0.376	0.546	0.001	113.041551	11.462	0.115268	30	2572204	589483236	177	41.807436	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	PE	4	6	238.297	20.701	63.932	122.321	120.311	19.507	57.672	0.874	1179647624	63.921	0.858	0.444	61.714	0.371	0.522	0.001	116.942837	11.061	0.108297	30	2573672	589823812	176	5.924743	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	PE	5	6	238.297	18.73	55.901	125.676	123.59	17.569	61.897	0.998	1140324640	55.893	0.854	0.435	53.723	0.36	0.514	0.001	122.556608	10.167	0.123319	29	2487955	570162320	173	2.451293	mpi_dynamic_single/has1/ERR1203383_PE.run.log
mpi_dynamic_single	has1	ERR1203383	SE	0	6	82.489	11.018	25.515	42.804	41.646	9.398	61.85	0.652	609484984	25.506	0.945	0.312	23.626	0.193	0.423	0.001	41.708715	14.263	0.000129	31	2661703	609484984	0	1.302679	mpi_dynamic_single/has1/ERR1203383_SE.run.log
mpi_dynamic_single	has1	ERR1203383	SE	1	6	82.489	10.428	24.745	45.046	44.094	9.677	58.129	0.724	589824168	24.732	0.876	0.324	22.93	0.188	0.402	0.001	44.578771	12.949	0.094702	30	2574961	589824168	1	1.302443	mpi_dynamic_single/has1/ERR1203383_SE.run.log
mpi_dynamic_single	has1	ERR1203383	SE	2	6	82.497	10.452	24.241	44.136	43.156	9.442	57.586	0.75	570163668	24.234	0.897	0.296	22.465	0.207	0.362	0.0	43.705067	12.848	0.073461	29	2488930	570163668	176	1.42315	mpi_dynamic_single/has1/ERR1203383_SE.run.log
mpi_dynamic_single	has1	ERR1203383	SE	3	6	82.497	11.473	31.028	39.9	38.981	9.75	57.657	0.633	589483236	31.019	0.872	0.334	29.212	0.187	0.403	0.001	37.389936	15.515	0.062952	30	2572204	589483236	177	7.004277	mpi_dynamic_single/has1/ERR1203383_SE.run.log
