configuration	io_mode	dataset	read_mode	total_s	stage1_s	stage2_s	stage3_s	sam_write_s	fread_s
cgs_cross_pool	has1	ERR1203383	PE	264.869	50.134	71.093	143.030	132.047	50.117
cgs_cross_pool	has1	ERR1203383	SE	122.750	25.476	29.281	67.543	62.058	25.461
cgs_cross_pool	has1	small_SRR7963242	PE	409.185	52.027	220.988	135.568	128.398	52.013
cgs_cross_pool	has1	small_SRR7963242	SE	147.198	26.565	55.641	64.625	61.043	26.549
cgs_cross_pool	has1	SRR2496709	PE	269.063	59.373	69.618	139.221	130.188	59.346
cgs_cross_pool	has1	SRR2496709	SE	119.881	26.037	29.020	64.013	59.484	26.022
cgs_cross_system	has1	ERR1203383	PE	295.213	61.046	90.421	143.144	132.231	61.022
cgs_cross_system	has1	ERR1203383	SE	141.782	33.322	40.484	67.531	62.036	33.297
cgs_cross_system	has1	small_SRR7963242	PE	744.129	74.084	528.387	140.972	133.822	74.054
cgs_cross_system	has1	small_SRR7963242	SE	189.353	36.121	87.510	65.342	61.759	36.095
cgs_cross_system	has1	SRR2496709	PE	305.581	66.078	100.378	138.232	129.253	66.052
cgs_cross_system	has1	SRR2496709	SE	133.615	25.980	42.444	64.301	59.800	25.964
cgs_pool	has1	ERR1203383	PE	317.027	67.543	112.352	136.560	125.668	67.532
cgs_pool	has1	ERR1203383	SE	147.611	28.176	51.330	67.667	62.218	28.165
cgs_pool	has1	small_SRR7963242	PE	430.522	67.306	225.965	136.611	129.439	67.280
cgs_pool	has1	small_SRR7963242	SE	174.187	27.591	79.819	66.402	62.821	27.578
cgs_pool	has1	SRR2496709	PE	306.812	64.827	102.679	138.481	129.469	64.800
cgs_pool	has1	SRR2496709	SE	137.120	24.388	47.132	64.774	60.267	24.385
cgs_system	has1	ERR1203383	PE	317.725	59.192	120.710	137.229	126.228	59.187
cgs_system	has1	ERR1203383	SE	150.079	26.556	54.581	68.509	62.998	26.552
cgs_system	has1	small_SRR7963242	PE	768.353	97.264	529.156	141.298	134.105	97.256
cgs_system	has1	small_SRR7963242	SE	190.927	27.161	97.053	66.344	62.737	27.153
cgs_system	has1	SRR2496709	PE	350.127	84.734	125.381	139.166	130.094	84.724
cgs_system	has1	SRR2496709	SE	145.266	24.480	54.498	65.449	60.908	24.478
single_system	has1	ERR1203383	PE	557.102	67.180	351.031	138.308	127.355	67.161
single_system	has1	ERR1203383	SE	224.237	30.316	129.112	64.387	58.907	30.300
single_system	has1	small_SRR7963242	PE	1569.846	162.691	1275.176	131.353	124.178	162.657
single_system	has1	small_SRR7963242	SE	370.406	28.914	277.616	63.540	59.953	28.896
single_system	has1	SRR2496709	PE	543.031	62.032	348.645	131.522	122.482	62.013
single_system	has1	SRR2496709	SE	227.363	33.496	130.556	62.444	57.928	33.480
cgs_cross_pool	no1	ERR1203383	PE	188.202	70.974	73.120	182.818	170.010	70.940
cgs_cross_pool	no1	ERR1203383	SE	91.877	35.760	31.055	88.406	81.822	35.742
cgs_cross_pool	no1	small_SRR7963242	PE	226.982	91.685	221.732	181.067	172.429	91.656
cgs_cross_pool	no1	small_SRR7963242	SE	93.286	41.565	56.792	89.241	85.027	41.543
cgs_cross_pool	no1	SRR2496709	PE	184.673	79.911	71.352	178.724	167.644	79.871
cgs_cross_pool	no1	SRR2496709	SE	89.448	36.642	30.515	85.529	79.814	36.623
cgs_cross_system	no1	ERR1203383	PE	200.828	90.357	91.681	194.267	179.686	90.324
cgs_cross_system	no1	ERR1203383	SE	101.109	39.433	42.667	97.781	90.343	39.419
cgs_cross_system	no1	small_SRR7963242	PE	619.470	97.975	615.560	224.670	206.385	97.958
cgs_cross_system	no1	small_SRR7963242	SE	108.433	51.418	90.361	103.204	96.987	51.385
cgs_cross_system	no1	SRR2496709	PE	206.594	86.994	103.154	199.970	184.674	86.969
cgs_cross_system	no1	SRR2496709	SE	98.161	40.352	43.915	94.074	88.060	40.323
cgs_pool	no1	ERR1203383	PE	241.957	100.925	115.341	234.885	215.740	100.879
cgs_pool	no1	ERR1203383	SE	115.908	42.827	52.753	111.889	100.933	42.820
cgs_pool	no1	small_SRR7963242	PE	243.229	126.196	227.530	231.095	211.806	126.182
cgs_pool	no1	small_SRR7963242	SE	129.149	58.403	81.840	123.958	116.372	58.391
cgs_pool	no1	SRR2496709	PE	232.261	93.339	104.582	225.470	208.955	93.309
cgs_pool	no1	SRR2496709	SE	110.754	42.176	48.408	106.547	97.622	42.168
cgs_system	no1	ERR1203383	PE	260.193	90.188	122.411	253.315	235.976	90.160
cgs_system	no1	ERR1203383	SE	124.138	54.334	55.968	120.241	106.193	54.321
cgs_system	no1	small_SRR7963242	PE	626.289	97.012	622.153	224.058	206.398	97.002
cgs_system	no1	small_SRR7963242	SE	131.811	57.356	99.288	126.341	116.873	57.338
cgs_system	no1	SRR2496709	PE	251.674	103.242	131.107	243.886	225.743	103.206
cgs_system	no1	SRR2496709	SE	119.413	43.531	55.681	115.372	105.250	43.521
single_system	no1	ERR1203383	PE	360.230	118.303	358.276	250.228	216.982	118.278
single_system	no1	ERR1203383	SE	137.430	56.860	134.480	128.367	110.728	56.848
single_system	no1	small_SRR7963242	PE	1312.415	139.816	1311.306	216.941	197.400	139.799
single_system	no1	small_SRR7963242	SE	282.654	48.319	282.032	104.771	92.853	48.304
single_system	no1	SRR2496709	PE	361.472	115.647	359.997	245.872	218.270	115.631
single_system	no1	SRR2496709	SE	136.551	51.846	135.274	118.887	104.074	51.834
