configuration     	 dataset         	 readmode	 total_s      	 stage1_s   	 stage2_s     	 stage3_s
mpi_dynamic_split 	 ERR1203383      	 PE      	 148.53-148.54	 30.41-34.98	 56.16-56.90  	 54.82-59.18
mpi_dynamic_split 	 ERR1203383      	 SE      	 68.75-68.76  	 15.72-17.24	 22.41-23.68  	 26.03-27.81
mpi_dynamic_split 	 small_SRR7963242	 PE      	 240.50-240.50	 27.15-30.65	 165.57-172.93	 38.65-42.87
mpi_dynamic_split 	 small_SRR7963242	 SE      	 87.08-87.09  	 14.22-15.31	 47.04-50.22  	 19.32-23.11
mpi_dynamic_split 	 SRR2496709      	 PE      	 145.76-145.77	 31.48-34.70	 53.50-58.12  	 53.53-57.23
mpi_dynamic_split 	 SRR2496709      	 SE      	 72.36-72.37  	 15.60-17.96	 22.27-25.07  	 30.57-32.25
mpi_dynamic_single	 ERR1203383      	 PE      	 168.60-168.61	 22.50-28.24	 51.55-60.03  	 79.79-90.75
mpi_dynamic_single	 ERR1203383      	 SE      	 78.25-78.25  	 9.71-11.10 	 22.14-24.22  	 40.63-43.90
mpi_dynamic_single	 small_SRR7963242	 PE      	 225.81-225.82	 15.76-20.78	 166.92-172.43	 31.56-40.22
mpi_dynamic_single	 small_SRR7963242	 SE      	 87.91-87.92  	 10.54-11.48	 44.87-51.02  	 23.12-29.49
mpi_dynamic_single	 SRR2496709      	 PE      	 162.41-162.42	 21.08-24.01	 51.09-57.36  	 80.40-84.26
mpi_dynamic_single	 SRR2496709      	 SE      	 78.17-78.17  	 10.57-12.30	 21.02-24.28  	 39.65-44.48
