configuration	dataset	readmode	total_s	stage1_s	stage2_s	stage3_s
single_system	ERR1203383	PE	531.147	96.013	303.286	131.316
single_system	ERR1203383	SE	214.564	31.773	117.099	65.274
single_system	small_SRR7963242	PE	1204.428	103.030	968.245	132.545
single_system	small_SRR7963242	SE	360.506	34.791	261.961	63.402
single_system	SRR2496709	PE	534.364	100.076	300.170	133.276
single_system	SRR2496709	SE	208.522	24.236	119.187	64.298
cgs_cross_pool	ERR1203383	PE	295.354	91.056	61.397	142.316
cgs_cross_pool	ERR1203383	SE	117.790	24.058	27.399	65.909
cgs_cross_pool	small_SRR7963242	PE	409.495	99.365	172.522	136.976
cgs_cross_pool	small_SRR7963242	SE	143.420	28.446	49.948	64.666
cgs_cross_pool	SRR2496709	PE	265.853	69.130	59.078	136.782
cgs_cross_pool	SRR2496709	SE	119.576	27.792	26.328	64.675
