variant	run	stage2	part3	worker	chain_build	chain_sa	chain_rid	chain_tree	chain_insert	chain_finalize
ksw_only	ERR1203383_PE.run1	3.904000	3.530000	7.332000	1.565000	0.974000	0.106000	0.015000	0.261000	0.145000
ksw_only	ERR1203383_PE.run2	3.897000	3.530000	7.343000	1.570000	0.977000	0.106000	0.015000	0.261000	0.146000
sa_batch	ERR1203383_PE.run1	3.809000	3.488000	7.249000	1.609000	1.009000	0.099000	0.015000	0.249000	0.135000
sa_batch	ERR1203383_PE.run2	3.799000	3.480000	7.241000	1.608000	1.012000	0.099000	0.015000	0.246000	0.134000
rid_ldm	ERR1203383_PE.run1	4.023000	3.670000	7.660000	1.777000	0.938000	0.106000	0.015000	0.429000	0.207000
rid_ldm	ERR1203383_PE.run2	4.037000	3.680000	7.681000	1.783000	0.941000	0.106000	0.015000	0.431000	0.207000
chain_arena	ERR1203383_PE.run1	3.855000	3.480000	7.223000	1.461000	0.957000	0.105000	0.015000	0.120000	0.202000
chain_arena	ERR1203383_PE.run2	3.838000	3.470000	7.230000	1.461000	0.958000	0.105000	0.015000	0.119000	0.202000
prefetch_trim	ERR1203383_PE.run1	3.898000	3.530000	7.338000	1.565000	0.972000	0.106000	0.015000	0.262000	0.145000
prefetch_trim	ERR1203383_PE.run2	3.902000	3.530000	7.349000	1.570000	0.976000	0.106000	0.015000	0.263000	0.145000
all	ERR1203383_PE.run1	3.786000	3.470000	7.214000	1.544000	1.019000	0.097000	0.015000	0.124000	0.162000
all	ERR1203383_PE.run2	3.797000	3.480000	7.235000	1.544000	1.017000	0.097000	0.015000	0.124000	0.165000
