dataset	chunk_mib	file_bytes	processed_reads	batches	stage2_s	part3_s	part3_avg_ms	stage2_mib_s	part3_mib_s	stage2_speedup_vs_1m	part3_speedup_vs_1m
SRR7963242	1	945555584	2500000	903	165.410	153.018	169.455	5.452	5.893	1.000	1.000
SRR7963242	2	945555584	2500000	452	116.317	109.570	242.412	7.753	8.230	1.422	1.397
SRR7963242	4	945555584	2500000	226	90.200	86.164	381.257	9.997	10.466	1.834	1.776
SRR7963242	8	945555584	2500000	113	77.884	75.232	665.770	11.578	11.986	2.124	2.034
SRR7963242	16	945555584	2500000	57	71.408	69.382	1217.228	12.628	12.997	2.316	2.205
SRR7963242	32	945555584	2500000	29	68.516	66.894	2306.690	13.161	13.480	2.414	2.287
SRR7963242	64	945555584	2500000	15	66.964	65.533	4368.867	13.466	13.760	2.470	2.335
SRR2496709	1	583901384	2101235	558	34.256	26.480	47.455	16.256	21.029	1.000	1.000
SRR2496709	2	583901384	2101235	279	28.353	23.923	85.746	19.640	23.277	1.208	1.107
SRR2496709	4	583901384	2101235	140	25.405	22.647	161.764	21.919	24.588	1.348	1.169
SRR2496709	8	583901384	2101235	70	24.061	22.143	316.329	23.143	25.148	1.424	1.196
SRR2496709	16	583901384	2101235	35	23.474	21.926	626.457	23.722	25.397	1.459	1.208
SRR2496709	32	583901384	2101235	18	22.962	21.679	1204.389	24.251	25.686	1.492	1.221
SRR2496709	64	583901384	2101235	9	22.845	21.668	2407.556	24.375	25.699	1.499	1.222
ERR1203383	1	223555584	1000000	214	12.861	9.534	44.551	16.577	22.362	1.000	1.000
ERR1203383	2	223555584	1000000	107	10.532	8.501	79.449	20.243	25.079	1.221	1.122
ERR1203383	4	223555584	1000000	54	9.311	7.916	146.593	22.898	26.933	1.381	1.204
ERR1203383	8	223555584	1000000	27	8.523	7.454	276.074	25.015	28.602	1.509	1.279
ERR1203383	16	223555584	1000000	14	8.271	7.354	525.286	25.777	28.991	1.555	1.296
ERR1203383	32	223555584	1000000	7	8.129	7.300	1042.857	26.227	29.205	1.582	1.306
ERR1203383	64	223555584	1000000	4	8.052	7.254	1813.500	26.478	29.391	1.597	1.314
