variant	dataset	run	stage2	part3	worker	mate_ksw	ksw_dp_forward	chain_build	chain_sa	chain_rid
baseline	ERR1203383	ERR1203383.run1	3.809000	3.451000	7.159000	0.934000	0.761000	1.460000	0.987000	0.105000
baseline	ERR1203383	ERR1203383.run2	3.811000	3.450000	7.174000	0.938000	0.762000	1.460000	0.987000	0.105000
baseline	ERR1203383	ERR1203383.run3	3.817000	3.449000	7.159000	0.945000	0.768000	1.447000	0.978000	0.104000
baseline	SRR7963242	SRR7963242.run1	46.746000	45.750000	96.000000	32.000000	24.000000	13.000000	9.302000	0.814000
baseline	SRR7963242	SRR7963242.run2	46.722000	45.751000	96.000000	32.000000	24.000000	13.000000	9.207000	0.807000
baseline	SRR7963242	SRR7963242.run3	46.735000	45.761000	96.000000	32.000000	24.000000	13.000000	9.286000	0.812000
ksw_only	ERR1203383	ERR1203383.run1	3.895000	3.530000	7.343000	0.803000	0.606000	1.578000	0.980000	0.107000
ksw_only	ERR1203383	ERR1203383.run2	3.902000	3.530000	7.347000	0.826000	0.621000	1.565000	0.974000	0.106000
ksw_only	ERR1203383	ERR1203383.run3	3.888000	3.530000	7.343000	0.823000	0.621000	1.573000	0.976000	0.106000
ksw_only	SRR7963242	SRR7963242.run1	45.675000	44.710000	94.000000	29.000000	20.000000	13.000000	9.263000	0.811000
ksw_only	SRR7963242	SRR7963242.run2	45.664000	44.700000	94.000000	29.000000	20.000000	13.000000	9.280000	0.813000
ksw_only	SRR7963242	SRR7963242.run3	45.700000	44.721000	94.000000	29.000000	20.000000	13.000000	9.340000	0.817000
bwt_chain_only	ERR1203383	ERR1203383.run1	4.022000	3.650000	7.616000	0.922000	0.749000	1.575000	0.979000	0.099000
bwt_chain_only	ERR1203383	ERR1203383.run2	4.016000	3.650000	7.614000	0.930000	0.757000	1.582000	0.986000	0.100000
bwt_chain_only	ERR1203383	ERR1203383.run3	4.017000	3.650000	7.598000	0.916000	0.744000	1.576000	0.980000	0.099000
bwt_chain_only	SRR7963242	SRR7963242.run1	47.012000	46.040000	97.000000	32.000000	24.000000	13.000000	9.349000	0.785000
bwt_chain_only	SRR7963242	SRR7963242.run2	47.033000	46.048000	97.000000	32.000000	24.000000	13.000000	9.448000	0.790000
bwt_chain_only	SRR7963242	SRR7963242.run3	47.011000	46.041000	97.000000	32.000000	24.000000	13.000000	9.439000	0.791000
combined	ERR1203383	ERR1203383.run1	3.788000	3.470000	7.201000	0.805000	0.606000	1.553000	1.025000	0.098000
combined	ERR1203383	ERR1203383.run2	3.789000	3.470000	7.205000	0.804000	0.603000	1.540000	1.015000	0.096000
combined	ERR1203383	ERR1203383.run3	3.793000	3.470000	7.211000	0.804000	0.601000	1.540000	1.015000	0.097000
combined	SRR7963242	SRR7963242.run1	45.347000	44.471000	93.000000	28.000000	19.000000	14.000000	9.488000	0.786000
combined	SRR7963242	SRR7963242.run2	45.341000	44.451000	93.000000	28.000000	19.000000	14.000000	9.518000	0.788000
combined	SRR7963242	SRR7963242.run3	45.328000	44.460000	93.000000	28.000000	19.000000	13.000000	9.427000	0.781000
