io_mode	dataset	read_mode	pipeline_total_s	stage1_s	stage2_s	stage3_s	worker_total_s	part1_s	part2_s	part3_s	part4_s	part5_s	part6_s	batches	read_bytes	fread_s	read_bw_mib_s	slowest_fread_s	output_bytes	write_s	write_bw_mib_s	read_io_outlier	write_io_outlier	baseline_stage2_s	stage2_speedup	stage2_change_percent
has1	ERR1203383	PE	297.693	83.126	69.469	144.533	69.453	0.472	0.486	65.233	2.320	0.928	0.000	30	6998619184	83.090	80.327	1.676	8029871401	112.818	67.878	no	no	71.093	1.023	-2.284
has1	ERR1203383	SE	155.635	52.516	28.989	73.731	28.974	0.468	0.374	26.350	1.170	0.598	0.000	30	3499309592	52.490	63.578	2.481	3590277649	58.136	58.896	no	no	29.281	1.010	-0.997
has1	small_SRR7963242	PE	439.925	91.126	216.244	131.960	216.226	0.507	0.504	212.954	1.540	0.706	0.001	33	7591174808	91.088	79.479	2.416	8434324786	110.410	72.852	no	no	220.988	1.022	-2.147
has1	small_SRR7963242	SE	147.946	30.149	54.837	62.608	54.819	0.498	0.380	52.641	0.783	0.501	0.001	33	3795587404	30.131	120.134	2.603	3920595145	52.020	71.875	no	no	55.641	1.015	-1.445
has1	SRR2496709	PE	308.663	106.764	67.978	133.073	67.962	0.473	0.466	64.320	1.933	0.755	0.000	30	7072168232	106.729	63.193	4.039	8119600200	106.799	72.505	no	no	69.618	1.024	-2.356
has1	SRR2496709	SE	145.067	53.063	28.514	62.739	28.497	0.506	0.361	26.101	0.978	0.538	0.001	30	3536084116	53.041	63.578	4.944	3685790019	50.052	70.228	no	no	29.020	1.018	-1.744
no1	ERR1203383	PE	191.628	131.628	72.110	185.852	72.105	0.693	0.472	66.386	3.611	0.939	0.001	30	6998619184	131.594	50.720	4.817	8029871401	146.698	52.202	no	no	73.120	1.014	-1.381
no1	ERR1203383	SE	369.286	362.227	29.504	85.893	29.494	0.598	0.430	26.036	1.650	0.770	0.003	30	3499309592	362.199	9.214	71.761	3590277649	67.257	50.909	yes	no	31.055	1.053	-4.994
no1	small_SRR7963242	PE	683.405	670.212	216.841	156.812	216.830	0.795	0.510	213.139	1.663	0.716	0.001	33	7591174808	670.185	10.802	63.899	8434324786	132.418	60.744	yes	no	221.732	1.023	-2.206
no1	small_SRR7963242	SE	309.948	302.616	55.296	89.192	55.281	0.686	0.429	52.582	0.984	0.586	0.001	33	3795587404	302.578	11.963	47.206	3920595145	75.993	49.202	yes	no	56.792	1.027	-2.634
no1	SRR2496709	PE	636.126	629.356	69.525	167.885	69.517	0.582	0.475	65.010	2.640	0.800	0.002	30	7072168232	629.321	10.717	49.647	8119600200	137.964	56.127	yes	no	71.352	1.026	-2.561
no1	SRR2496709	SE	351.687	348.698	28.700	74.390	28.685	0.547	0.437	25.890	1.139	0.659	0.001	30	3536084116	348.673	9.672	59.106	3685790019	60.582	58.021	yes	no	30.515	1.063	-5.948
