variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
baseline	ERR1203383	PE	WORKER_ALIGNMENT		0	8716000000	8691000000	9226000000	3255000000	3078000000	3650000000	2626	2306	2922	0	0	0	316000000	279000000	377000000	3183000	2831000	3465000	24	0	1556	3061000000	2848000000	3204000000	2.677727
baseline	ERR1203383	PE	MEM_CHAIN	WORKER_ALIGNMENT	1	4703000000	4168000000	5106000000	1553000000	1372000000	1696000000	0	0	0	0	0	0	87000000	77000000	94000000	3002000	2664000	3282000	0	0	0	1403000000	1236000000	1537000000	3.028332
baseline	ERR1203383	PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	200000000	148000000	259000000	56000000	29000000	89000000	0	0	0	0	0	0	12000000	5576000	21000000	4804	3684	6261	0	0	0	98000000	89000000	104000000	3.571429
baseline	ERR1203383	PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	893000000	821000000	1026000000	387000000	331000000	471000000	0	0	0	0	0	0	57000000	49000000	69000000	47000	42000	56000	0	0	0	393000000	367000000	435000000	2.307494
baseline	ERR1203383	PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	103000000	92000000	119000000	29000000	21000000	40000000	0	0	0	0	0	0	4387000	3140000	6088000	86	45	242	0	0	0	58000000	52000000	61000000	3.551724
baseline	ERR1203383	PE	MATE_RESCUE	SAM_FORMAT	2	1657000000	1150000000	2366000000	1065000000	750000000	1454000000	0	0	0	0	0	0	130000000	88000000	188000000	22000	18000	30000	0	0	0	295000000	226000000	400000000	1.555869
baseline	ERR1203383	PE	PAIRING	SAM_FORMAT	2	122000000	110000000	130000000	17000000	15000000	18000000	0	0	0	0	0	0	2291000	2155000	2391000	1370	643	3317	0	0	0	95000000	84000000	102000000	7.176471
baseline	ERR1203383	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	2644000000	2211000000	3293000000	1217000000	913000000	1590000000	0	0	0	0	0	0	154000000	113000000	211000000	59000	54000	69000	0	0	0	1010000000	974000000	1063000000	2.172555
baseline	ERR1203383	PE	SAM_COPY		0	62000000	55000000	65000000	4941000	4326000	5519000	0	0	0	0	0	0	936000	821000	1043000	29000	25000	32000	0	0	0	891000	782000	990000	12.548067
baseline	ERR1203383	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	3052000000	2676000000	3360000000	1141000000	1004000000	1266000000	0	0	0	0	0	0	59000000	52000000	66000000	1984000	1745000	2188000	0	0	0	1067000000	937000000	1176000000	2.674847
