profile	region	parent	depth	cycles_avg	cycles_min	cycles_max	worker_cycle_percent	instructions_avg	dcache_accesses_avg	dcache_misses_avg	dcache_miss_percent	instruction_stall_cycles_avg
ERR 75bp PE	WORKER_ALIGNMENT		0	7071000000	7050000000	7334000000	100.0000	2994000000	229000000	3082000	1.345852	1773000000
ERR 75bp PE	MEM_CHAIN	WORKER_ALIGNMENT	1	3693000000	3296000000	3924000000	52.2274	1466000000	64000000	2862000	4.471875	564000000
ERR 75bp PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	2185000000	1925000000	2365000000	30.9009	1076000000	40000000	1871000	4.677500	314000000
ERR 75bp PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	1401000000	1275000000	1485000000	19.8133	383000000	24000000	985000	4.104167	158000000
ERR 75bp PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	196000000	140000000	311000000	2.7719	59000000	13000000	8532	0.065631	86000000
ERR 75bp PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	869000000	783000000	941000000	12.2896	392000000	58000000	62000	0.106897	351000000
ERR 75bp PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	412000000	333000000	463000000	5.8266	297000000	43000000	12000	0.027907	84000000
ERR 75bp PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	95000000	82000000	110000000	1.3435	30000000	4488000	91	0.002028	49000000
ERR 75bp PE	SAM_FORMAT	WORKER_ALIGNMENT	1	2033000000	1822000000	2530000000	28.7512	1041000000	88000000	61000	0.069318	698000000
ERR 75bp PE	MATE_RESCUE	SAM_FORMAT	2	1218000000	965000000	1745000000	17.2253	888000000	64000000	18000	0.028125	162000000
ERR 75bp PE	MATE_REF_FETCH	MATE_RESCUE	3	20000000	15000000	28000000	0.2828	14000000	2081000	2504	0.120327	1496000
ERR 75bp PE	MATE_KSW_ALIGN	MATE_RESCUE	3	898000000	712000000	1235000000	12.6998	762000000	53000000	1446	0.002728	65000000
ERR 75bp PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	32000000	25000000	45000000	0.4526	13000000	1330000	7	0.000526	8611000
ERR 75bp PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	733000000	569000000	1021000000	10.3663	656000000	43000000	1027	0.002388	45000000
ERR 75bp PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	17000000	12000000	22000000	0.2404	7251000	736000	0	0.000000	3748000
ERR 75bp PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	107000000	71000000	145000000	1.5132	83000000	5731000	0	0.000000	5401000
ERR 75bp PE	MATE_DEDUP	MATE_RESCUE	3	209000000	59000000	543000000	2.9557	93000000	6695000	92	0.001374	46000000
ERR 75bp PE	DEDUP_SORT_END	MATE_DEDUP	4	73000000	22000000	183000000	1.0324	38000000	2598000	86	0.003310	13000000
ERR 75bp PE	DEDUP_REDUNDANCY	MATE_DEDUP	4	10000000	4440000	20000000	0.1414	4710000	921000	4	0.000434	2275000
ERR 75bp PE	DEDUP_SORT_SCORE	MATE_DEDUP	4	123000000	30000000	339000000	1.7395	50000000	3174000	2	0.000063	30000000
ERR 75bp PE	PAIRING	SAM_FORMAT	2	72000000	67000000	77000000	1.0182	17000000	2302000	1510	0.065595	45000000
SRR 150bp PE	WORKER_ALIGNMENT		0	95000000000	94000000000	96000000000	100.0000	65000000000	6388000000	23000000	0.360050	9914000000
SRR 150bp PE	MEM_CHAIN	WORKER_ALIGNMENT	1	24000000000	22000000000	26000000000	25.2632	12000000000	597000000	21000000	3.517588	2497000000
SRR 150bp PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	11000000000	10000000000	12000000000	11.5789	6801000000	266000000	9910000	3.725564	1490000000
SRR 150bp PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	13000000000	12000000000	13000000000	13.6842	4874000000	330000000	11000000	3.333333	870000000
SRR 150bp PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	3815000000	3172000000	4676000000	4.0158	1669000000	415000000	676000	0.162892	413000000
SRR 150bp PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	22000000000	21000000000	24000000000	23.1579	18000000000	2677000000	750000	0.028016	2824000000
SRR 150bp PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	17000000000	16000000000	20000000000	17.8947	17000000000	2434000000	133000	0.005464	1044000000
SRR 150bp PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	1368000000	1241000000	1483000000	1.4400	710000000	111000000	2014	0.001814	279000000
SRR 150bp PE	SAM_FORMAT	WORKER_ALIGNMENT	1	44000000000	41000000000	46000000000	46.3158	33000000000	2580000000	792000	0.030698	3861000000
SRR 150bp PE	MATE_RESCUE	SAM_FORMAT	2	41000000000	38000000000	43000000000	43.1579	31000000000	2350000000	575000	0.024468	2775000000
SRR 150bp PE	MATE_REF_FETCH	MATE_RESCUE	3	309000000	293000000	332000000	0.3253	217000000	33000000	39000	0.118182	19000000
SRR 150bp PE	MATE_KSW_ALIGN	MATE_RESCUE	3	32000000000	30000000000	34000000000	33.6842	27000000000	1941000000	25000	0.001288	1138000000
SRR 150bp PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	740000000	699000000	797000000	0.7789	343000000	37000000	132	0.000357	110000000
SRR 150bp PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	24000000000	22000000000	25000000000	25.2632	21000000000	1454000000	22000	0.001513	806000000
SRR 150bp PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	463000000	427000000	489000000	0.4874	221000000	24000000	6	0.000025	58000000
SRR 150bp PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	6809000000	6088000000	7121000000	7.1674	5388000000	385000000	2	0.000001	141000000
SRR 150bp PE	MATE_DEDUP	MATE_RESCUE	3	7551000000	6512000000	8854000000	7.9484	3544000000	320000000	301000	0.094062	1349000000
SRR 150bp PE	DEDUP_SORT_END	MATE_DEDUP	4	2549000000	2191000000	3004000000	2.6832	1341000000	110000000	133000	0.120909	338000000
SRR 150bp PE	DEDUP_REDUNDANCY	MATE_DEDUP	4	851000000	700000000	1038000000	0.8958	440000000	76000000	13000	0.017105	155000000
SRR 150bp PE	DEDUP_SORT_SCORE	MATE_DEDUP	4	4116000000	3573000000	4838000000	4.3326	1749000000	134000000	148000	0.110448	850000000
SRR 150bp PE	PAIRING	SAM_FORMAT	2	266000000	256000000	279000000	0.2800	88000000	16000000	30000	0.187500	101000000
