dataset	region	parent	depth	cycles_avg	cycles_min	cycles_max	parent_percent	worker_percent	instructions_avg	dcache_misses_avg	instruction_stall_cycles_avg
ERR 75 bp	WORKER_ALIGNMENT		0	7193000000	7177000000	7349000000	100.000	100.000	2727000000	2948000	2174000000
ERR 75 bp	MEM_CHAIN	WORKER_ALIGNMENT	1	3782000000	3371000000	3973000000	52.579	52.579	1516000000	2743000	835000000
ERR 75 bp	MEM_CHAIN_COLLECT	MEM_CHAIN	2	2144000000	1886000000	2287000000	56.690	29.807	1041000000	1805000	363000000
ERR 75 bp	MEM_COLLECT_FIRST	MEM_CHAIN_COLLECT	3	761000000	672000000	815000000	35.494	10.580	344000000	615000	121000000
ERR 75 bp	MEM_COLLECT_SPLIT	MEM_CHAIN_COLLECT	3	693000000	600000000	747000000	32.323	9.634	436000000	786000	112000000
ERR 75 bp	MEM_COLLECT_LAST	MEM_CHAIN_COLLECT	3	534000000	472000000	571000000	24.907	7.424	254000000	320000	58000000
ERR 75 bp	MEM_COLLECT_SORT	MEM_CHAIN_COLLECT	3	147000000	132000000	163000000	6.856	2.044	6359000	84000	62000000
ERR 75 bp	MEM_CHAIN_BUILD	MEM_CHAIN	2	1533000000	1391000000	1605000000	40.534	21.312	468000000	932000	382000000
ERR 75 bp	CHAIN_BUILD_REPETITIVE	MEM_CHAIN_BUILD	3	4968000	4303000	5743000	0.324	0.069	469000	236	4006000
ERR 75 bp	CHAIN_BUILD_SA	MEM_CHAIN_BUILD	3	1013000000	911000000	1064000000	66.080	14.083	390000000	783000	119000000
ERR 75 bp	CHAIN_BUILD_RID	MEM_CHAIN_BUILD	3	97000000	87000000	102000000	6.327	1.349	22000000	50000	20000000
ERR 75 bp	CHAIN_BUILD_TREE_SEARCH	MEM_CHAIN_BUILD	3	15000000	13000000	18000000	0.978	0.209	5015000	4482	3690000
ERR 75 bp	CHAIN_BUILD_MERGE	MEM_CHAIN_BUILD	3	8504000	7857000	9127000	0.555	0.118	2624000	546	3018000
ERR 75 bp	CHAIN_BUILD_INSERT	MEM_CHAIN_BUILD	3	122000000	114000000	131000000	7.958	1.696	21000000	18000	73000000
ERR 75 bp	CHAIN_BUILD_FINALIZE	MEM_CHAIN_BUILD	3	158000000	142000000	169000000	10.307	2.197	18000000	68000	73000000
ERR 75 bp	CHAIN_FILTER	WORKER_ALIGNMENT	1	200000000	138000000	265000000	2.780	2.780	60000000	3352	91000000
ERR 75 bp	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	965000000	872000000	1094000000	13.416	13.416	379000000	60000	465000000
ERR 75 bp	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	441000000	360000000	538000000	45.699	6.131	289000000	12000	117000000
ERR 75 bp	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	95000000	84000000	106000000	1.321	1.321	31000000	90	47000000
ERR 75 bp	SAM_FORMAT	WORKER_ALIGNMENT	1	1979000000	1744000000	2419000000	27.513	27.513	734000000	59000	712000000
ERR 75 bp	MATE_RESCUE	SAM_FORMAT	2	1201000000	924000000	1712000000	60.687	16.697	585000000	20000	204000000
ERR 75 bp	MATE_REF_FETCH	MATE_RESCUE	3	23000000	17000000	29000000	1.915	0.320	14000000	2639	4448000
ERR 75 bp	MATE_KSW_ALIGN	MATE_RESCUE	3	806000000	597000000	997000000	67.111	11.205	439000000	824	70000000
ERR 75 bp	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	53000000	40000000	64000000	6.576	0.737	25000000	4	12000000
ERR 75 bp	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	604000000	447000000	741000000	74.938	8.397	344000000	408	44000000
ERR 75 bp	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	31000000	22000000	39000000	3.846	0.431	15000000	0	7194000
ERR 75 bp	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	110000000	81000000	145000000	13.648	1.529	52000000	0	5300000
ERR 75 bp	MATE_DEDUP	MATE_RESCUE	3	257000000	87000000	725000000	21.399	3.573	112000000	2498	57000000
ERR 75 bp	DEDUP_SORT_END	MATE_DEDUP	4	90000000	33000000	244000000	35.019	1.251	45000000	1472	16000000
ERR 75 bp	DEDUP_REDUNDANCY	MATE_DEDUP	4	13000000	6883000	29000000	5.058	0.181	5212000	7	3969000
ERR 75 bp	DEDUP_SORT_SCORE	MATE_DEDUP	4	151000000	44000000	447000000	58.755	2.099	60000000	792	36000000
ERR 75 bp	PAIRING	SAM_FORMAT	2	95000000	86000000	100000000	4.800	1.321	16000000	1478	68000000
SRR 150 bp	WORKER_ALIGNMENT		0	93000000000	93000000000	95000000000	100.000	100.000	54000000000	22000000	13000000000
SRR 150 bp	MEM_CHAIN	WORKER_ALIGNMENT	1	25000000000	23000000000	26000000000	26.882	26.882	13000000000	20000000	4158000000
SRR 150 bp	MEM_CHAIN_COLLECT	MEM_CHAIN	2	11000000000	10000000000	12000000000	44.000	11.828	6727000000	9835000	1554000000
SRR 150 bp	MEM_COLLECT_FIRST	MEM_CHAIN_COLLECT	3	4033000000	3691000000	4351000000	36.664	4.337	2409000000	4035000	543000000
SRR 150 bp	MEM_COLLECT_SPLIT	MEM_CHAIN_COLLECT	3	4378000000	3834000000	4934000000	39.800	4.708	3005000000	3478000	709000000
SRR 150 bp	MEM_COLLECT_LAST	MEM_CHAIN_COLLECT	3	2441000000	2241000000	2634000000	22.191	2.625	1288000000	2054000	188000000
SRR 150 bp	MEM_COLLECT_SORT	MEM_CHAIN_COLLECT	3	290000000	263000000	321000000	2.636	0.312	22000000	266000	98000000
SRR 150 bp	MEM_CHAIN_BUILD	MEM_CHAIN	2	13000000000	13000000000	14000000000	52.000	13.978	5991000000	10000000	2471000000
SRR 150 bp	CHAIN_BUILD_REPETITIVE	MEM_CHAIN_BUILD	3	11000000	9589000	13000000	0.085	0.012	2038000	703	6952000
SRR 150 bp	CHAIN_BUILD_SA	MEM_CHAIN_BUILD	3	9456000000	8748000000	10000000000	72.738	10.168	4943000000	9022000	1048000000
SRR 150 bp	CHAIN_BUILD_RID	MEM_CHAIN_BUILD	3	785000000	728000000	829000000	6.038	0.844	263000000	350000	124000000
SRR 150 bp	CHAIN_BUILD_TREE_SEARCH	MEM_CHAIN_BUILD	3	329000000	310000000	350000000	2.531	0.354	105000000	170000	43000000
SRR 150 bp	CHAIN_BUILD_MERGE	MEM_CHAIN_BUILD	3	103000000	97000000	109000000	0.792	0.111	36000000	30000	16000000
SRR 150 bp	CHAIN_BUILD_INSERT	MEM_CHAIN_BUILD	3	1530000000	1461000000	1600000000	11.769	1.645	455000000	369000	545000000
SRR 150 bp	CHAIN_BUILD_FINALIZE	MEM_CHAIN_BUILD	3	459000000	428000000	494000000	3.531	0.494	89000000	342000	117000000
SRR 150 bp	CHAIN_FILTER	WORKER_ALIGNMENT	1	3445000000	2967000000	4293000000	3.704	3.704	1628000000	214000	418000000
SRR 150 bp	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	23000000000	21000000000	26000000000	24.731	24.731	18000000000	665000	3718000000
SRR 150 bp	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	18000000000	16000000000	21000000000	78.261	19.355	17000000000	125000	1339000000
SRR 150 bp	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	1380000000	1235000000	1591000000	1.484	1.484	717000000	1818	282000000
SRR 150 bp	SAM_FORMAT	WORKER_ALIGNMENT	1	41000000000	39000000000	42000000000	44.086	44.086	21000000000	983000	4097000000
SRR 150 bp	MATE_RESCUE	SAM_FORMAT	2	38000000000	36000000000	39000000000	92.683	40.860	19000000000	767000	3036000000
SRR 150 bp	MATE_REF_FETCH	MATE_RESCUE	3	351000000	331000000	369000000	0.924	0.377	215000000	45000	60000000
SRR 150 bp	MATE_KSW_ALIGN	MATE_RESCUE	3	28000000000	27000000000	30000000000	73.684	30.108	15000000000	30000	1231000000
SRR 150 bp	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	1234000000	1149000000	1312000000	4.407	1.327	647000000	135	208000000
SRR 150 bp	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	19000000000	18000000000	21000000000	67.857	20.430	11000000000	25000	748000000
SRR 150 bp	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	808000000	716000000	859000000	2.886	0.869	420000000	7	142000000
SRR 150 bp	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	6810000000	6118000000	7285000000	24.321	7.323	3222000000	0	124000000
SRR 150 bp	MATE_DEDUP	MATE_RESCUE	3	7935000000	6722000000	9776000000	20.882	8.532	3592000000	461000	1430000000
SRR 150 bp	DEDUP_SORT_END	MATE_DEDUP	4	2697000000	2298000000	3343000000	33.989	2.900	1357000000	229000	365000000
SRR 150 bp	DEDUP_REDUNDANCY	MATE_DEDUP	4	892000000	747000000	1139000000	11.241	0.959	444000000	15000	182000000
SRR 150 bp	DEDUP_SORT_SCORE	MATE_DEDUP	4	4285000000	3577000000	5226000000	54.001	4.608	1773000000	196000	867000000
SRR 150 bp	PAIRING	SAM_FORMAT	2	324000000	310000000	369000000	0.790	0.348	88000000	32000	159000000
