dataset	total_calls	bucket	count	percent
ERR 75 bp	69952	0-1	25	0.04
ERR 75 bp	69952	2	464	0.66
ERR 75 bp	69952	3	3312	4.73
ERR 75 bp	69952	4	2179	3.11
ERR 75 bp	69952	5	1893	2.71
ERR 75 bp	69952	6	1751	2.50
ERR 75 bp	69952	7	1540	2.20
ERR 75 bp	69952	8	1446	2.07
ERR 75 bp	69952	9-16	9202	13.15
ERR 75 bp	69952	17-32	14767	21.11
ERR 75 bp	69952	33-64	20273	28.98
ERR 75 bp	69952	65+	13100	18.73
SRR 150 bp	1092913	0-1	13	0.00
SRR 150 bp	1092913	2	7298	0.67
SRR 150 bp	1092913	3	46019	4.21
SRR 150 bp	1092913	4	8916	0.82
SRR 150 bp	1092913	5	8440	0.77
SRR 150 bp	1092913	6	8892	0.81
SRR 150 bp	1092913	7	8767	0.80
SRR 150 bp	1092913	8	8869	0.81
SRR 150 bp	1092913	9-16	72869	6.67
SRR 150 bp	1092913	17-32	154295	14.12
SRR 150 bp	1092913	33-64	219459	20.08
SRR 150 bp	1092913	65+	549076	50.24
