log	dataset	config	rep	cg_count	mpi_chunks	world_size	hash_ranks	hash_bytes	hash_sum	hash_xor	total	stage1	stage2	stage3	part3	claimed	rma	accum_stage2	barrier	iprobe_calls	iprobe_total	read_bw	fread_slowest
big4_A_rep1.log	big4	A	1	6	129	4	4	33737260791	45662c023581ae37	24b11b5205b29c5b	n=4 min=187.254 max=187.257 med=187.255	n=4 min=109.764 max=119.077 med=111.551	n=4 min=178.804 max=183.205 med=181.064	n=4 min=48.780 max=50.618 med=49.524	n=4 min=175.277 max=179.579 med=177.447	n=4 min=32.000 max=33.000 med=32.000	n=4 min=0.720 max=0.814 med=0.789	n=4 min=178.804 max=183.205 med=181.064	n=4 min=0.000 max=3.889 med=2.251	n=4 min=18605.000 max=18619.000 med=18614.000	n=4 min=0.479 max=0.499 med=0.485	n=4 min=68.574 max=71.012 med=69.876	n=4 min=1.962 max=2.418 med=1.993
big4_A_rep2.log	big4	A	2	6	129	4	4	33737260791	45662c023581ae37	24b11b5205b29c5b	n=4 min=186.077 max=186.085 med=186.079	n=4 min=77.905 max=87.008 med=84.002	n=4 min=178.876 max=183.437 med=180.947	n=4 min=53.685 max=54.763 med=53.996	n=4 min=175.273 max=179.805 med=177.344	n=4 min=32.000 max=33.000 med=32.000	n=4 min=0.679 max=0.890 med=0.751	n=4 min=178.876 max=183.437 med=180.947	n=4 min=0.000 max=4.314 med=2.443	n=4 min=18489.000 max=18498.000 med=18495.500	n=4 min=0.407 max=0.474 med=0.442	n=4 min=90.284 max=99.829 med=91.874	n=4 min=1.459 max=2.010 med=1.788
big4_A_rep3.log	big4	A	3	6	129	4	4	33737260791	45662c023581ae37	24b11b5205b29c5b	n=4 min=186.791 max=186.798 med=186.794	n=4 min=84.002 max=87.439 med=85.509	n=4 min=178.892 max=183.462 med=181.053	n=4 min=52.748 max=54.784 med=53.940	n=4 min=175.263 max=179.833 med=177.399	n=4 min=32.000 max=33.000 med=32.000	n=4 min=0.704 max=0.918 med=0.727	n=4 min=178.892 max=183.462 med=181.053	n=4 min=0.000 max=4.812 med=2.434	n=4 min=18557.000 max=18569.000 med=18566.000	n=4 min=0.409 max=0.522 med=0.441	n=4 min=89.544 max=92.389 med=90.285	n=4 min=1.603 max=1.885 med=1.678
big4_B_rep1.log	big4	B	1	1	129	24	24	33737260791	45662c023581ae37	24b11b5205b29c5b	n=24 min=195.172 max=195.184 med=195.176	n=24 min=37.112 max=67.289 med=55.352	n=24 min=149.722 max=185.502 med=153.953	n=24 min=6.350 max=8.529 med=7.248	n=24 min=148.706 max=184.267 med=152.889	n=24 min=5.000 max=6.000 med=5.000	n=24 min=0.472 max=1.182 med=0.757	n=24 min=149.722 max=185.502 med=153.953	n=24 min=0.000 max=34.235 med=30.081	n=24 min=19474.000 max=19502.000 med=19493.500	n=24 min=0.281 max=0.537 med=0.374	n=24 min=20.611 max=32.470 med=21.785	n=24 min=5.818 max=6.522 med=6.040
big4_B_rep2.log	big4	B	2	1	129	24	24	33737260791	45662c023581ae37	24b11b5205b29c5b	n=24 min=193.169 max=193.179 med=193.173	n=24 min=34.728 max=67.490 med=56.023	n=24 min=149.622 max=182.534 med=155.524	n=24 min=6.373 max=8.720 med=7.254	n=24 min=148.586 max=181.305 med=154.434	n=24 min=5.000 max=6.000 med=5.000	n=24 min=0.646 max=1.224 med=0.773	n=24 min=149.622 max=182.534 med=155.524	n=24 min=0.000 max=32.297 med=27.253	n=24 min=19276.000 max=19302.000 med=19297.000	n=24 min=0.285 max=0.499 med=0.346	n=24 min=20.233 max=34.507 med=21.782	n=24 min=5.802 max=6.463 med=6.097
big4_B_rep3.log	big4	B	3	1	129	24	24	33737260791	45662c023581ae37	24b11b5205b29c5b	n=24 min=194.320 max=194.328 med=194.324	n=24 min=35.879 max=67.489 med=58.161	n=24 min=149.736 max=183.284 med=155.367	n=24 min=6.457 max=8.950 med=7.133	n=24 min=148.736 max=181.985 med=154.350	n=24 min=5.000 max=6.000 med=5.000	n=24 min=0.613 max=1.194 med=0.759	n=24 min=149.736 max=183.284 med=155.367	n=24 min=0.000 max=33.522 med=27.864	n=24 min=19396.000 max=19415.000 med=19406.500	n=24 min=0.286 max=0.458 med=0.384	n=24 min=20.146 max=33.549 med=21.109	n=24 min=5.940 max=6.836 med=6.069
small_A_rep1.log	small	A	1	6	33	4	4	8434305239	76feaf34583b4527	f5fdbb902cd97fdf	n=4 min=49.306 max=49.313 med=49.306	n=4 min=22.406 max=23.489 med=22.995	n=4 min=44.647 max=45.976 med=45.304	n=4 min=12.089 max=12.514 med=12.273	n=4 min=43.690 max=45.021 med=44.297	n=4 min=8.000 max=9.000 med=8.000	n=4 min=0.238 max=0.261 med=0.245	n=4 min=44.647 max=45.976 med=45.304	n=4 min=0.000 max=1.132 med=0.853	n=4 min=4896.000 max=4901.000 med=4900.000	n=4 min=0.122 max=0.160 med=0.137	n=4 min=82.120 max=88.338 med=83.715	n=4 min=1.541 max=1.863 med=1.696
small_A_rep2.log	small	A	2	6	33	4	4	8434305239	76feaf34583b4527	f5fdbb902cd97fdf	n=4 min=48.668 max=48.678 med=48.677	n=4 min=20.869 max=23.936 med=22.482	n=4 min=44.626 max=46.022 med=45.279	n=4 min=12.151 max=12.714 med=12.256	n=4 min=43.670 max=45.012 med=44.301	n=4 min=8.000 max=9.000 med=8.000	n=4 min=0.239 max=0.275 med=0.252	n=4 min=44.626 max=46.022 med=45.279	n=4 min=0.000 max=0.255 med=0.119	n=4 min=4833.000 max=4837.000 med=4834.000	n=4 min=0.123 max=0.162 med=0.143	n=4 min=80.556 max=92.678 med=86.740	n=4 min=1.626 max=1.781 med=1.714
small_A_rep3.log	small	A	3	6	33	4	4	8434305239	76feaf34583b4527	f5fdbb902cd97fdf	n=4 min=48.931 max=48.935 med=48.933	n=4 min=18.717 max=19.592 med=18.916	n=4 min=44.632 max=45.986 med=45.267	n=4 min=12.702 max=13.107 med=13.049	n=4 min=43.671 max=45.021 med=44.291	n=4 min=8.000 max=9.000 med=8.000	n=4 min=0.230 max=0.293 med=0.267	n=4 min=44.632 max=45.986 med=45.267	n=4 min=0.000 max=1.407 med=1.106	n=4 min=4861.000 max=4863.000 med=4862.000	n=4 min=0.124 max=0.136 med=0.128	n=4 min=98.642 max=106.854 med=102.477	n=4 min=1.424 max=1.538 med=1.512
small_B_rep1.log	small	B	1	1	33	24	24	8434305239	76feaf34583b4527	f5fdbb902cd97fdf	n=24 min=73.156 max=73.166 med=73.161	n=24 min=12.430 max=21.504 med=13.489	n=24 min=29.491 max=60.941 med=30.607	n=24 min=0.959 max=2.505 med=0.988	n=24 min=29.291 max=60.532 med=30.391	n=24 min=1.000 max=2.000 med=1.000	n=24 min=0.494 max=1.684 med=0.998	n=24 min=29.491 max=60.941 med=30.606	n=24 min=0.000 max=31.607 med=28.958	n=24 min=7262.000 max=7314.000 med=7309.500	n=24 min=0.051 max=0.280 med=0.072	n=24 min=17.506 max=31.861 med=20.792	n=24 min=5.353 max=6.569 med=5.787
