# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	7048
# calls	451066
# total_dp_cells	221984606
# total_rows	11862913
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	47934	57495	216640	128997	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52569	58080	225082	112993	1963	299	73	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	451066	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	41415	50883	153430	62827	67581	69520	5410	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
0	24	49	100	24	49	876	61
1	2	3	100	2	3	6	54
2	37	69	100	37	37	686	39
3	10	60	100	10	21	155	70
4	23	41	100	23	41	790	70
5	3	53	100	3	7	15	72
6	9	59	100	9	19	126	70
7	1	51	100	1	3	2	74
8	32	59	100	32	59	1537	70
9	36	86	100	36	73	1930	70
10	20	35	100	20	28	509	35
11	2	52	100	2	5	7	73
12	44	83	100	44	83	2296	58
13	5	102	100	5	11	40	46
14	30	55	100	30	39	987	45
15	9	59	100	9	19	126	70
16	30	55	100	30	39	987	45
17	30	55	100	30	39	987	45
18	6	56	100	6	13	57	65
19	20	70	100	20	41	610	70
20	4	5	100	4	5	20	71
21	30	55	100	30	55	1350	65
22	51	97	100	51	72	1394	29
23	54	103	100	54	11	150	19
24	30	55	100	30	39	987	45
25	30	55	100	30	39	987	45
26	40	75	100	40	75	1689	50
27	10	15	100	10	15	140	67
28	43	93	100	43	87	2356	65
29	30	55	100	30	39	987	45
30	30	55	100	30	39	987	45
31	31	57	100	31	57	1442	70
32	30	118	100	30	39	1019	45
33	20	70	100	20	41	610	70
34	30	74	100	30	61	1365	70
35	1	28	100	1	3	2	73
36	30	55	100	30	38	970	45
37	27	49	100	27	49	1092	70
38	8	11	100	8	11	85	70
39	4	5	100	4	5	20	39
40	11	62	100	11	23	187	67
41	6	7	100	6	7	42	70
42	8	11	100	8	11	85	68
43	1	51	100	1	3	2	74
44	36	67	100	36	47	1325	39
45	7	57	100	7	15	77	65
46	5	6	100	5	6	30	70
47	8	11	100	8	11	85	67
48	40	75	100	40	75	1868	55
49	7	57	100	7	15	77	70
50	36	307	100	36	73	1853	42
51	15	45	100	15	31	345	65
52	27	49	100	27	49	1092	60
53	24	74	100	24	49	876	70
54	27	49	100	27	49	1092	61
55	35	85	100	35	64	1750	45
