# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	3351
# calls	214440
# total_dp_cells	104366290
# total_rows	5602190
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	23037	26708	106355	58340	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	24356	27328	110338	51203	996	167	45	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	214440	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	19849	24226	73960	29697	31583	32898	2227	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
0	31	57	100	31	57	1442	63
1	31	81	100	31	63	1457	70
2	27	77	100	27	55	1107	70
3	35	85	100	35	71	1854	65
4	23	41	100	23	41	790	67
5	42	85	100	42	85	1986	50
6	19	33	100	19	33	536	70
7	14	64	100	14	29	301	70
8	40	75	100	40	75	1728	55
9	36	109	100	36	73	1853	42
10	30	80	100	30	61	1365	70
11	36	109	100	36	73	1853	42
12	26	76	100	26	53	1027	65
13	30	74	100	30	61	1365	70
14	30	55	100	30	55	1343	51
15	36	67	100	36	39	1220	39
16	20	35	100	20	35	570	40
17	19	33	100	19	33	536	70
18	42	79	100	42	79	1997	57
19	20	35	100	20	35	570	40
20	20	35	100	20	35	595	62
21	54	103	100	54	17	328	19
22	20	35	100	20	35	570	40
23	14	43	100	14	29	301	70
24	40	75	100	40	75	1971	56
25	40	75	100	40	75	1752	50
26	36	67	100	36	62	1738	39
27	7	9	100	7	9	62	70
28	31	81	100	31	63	1457	65
29	8	58	100	8	17	100	67
30	37	69	100	37	69	1994	70
31	36	139	100	36	73	1853	42
32	15	25	100	15	25	330	70
33	6	7	100	6	7	42	69
34	40	75	100	40	75	1460	47
35	2	32	100	2	5	7	70
36	15	45	100	15	31	345	65
37	14	43	100	14	29	301	65
38	11	39	100	11	23	187	70
39	19	33	100	19	33	536	70
40	7	57	100	7	15	77	70
41	40	75	100	40	75	2142	65
42	13	21	100	13	21	245	61
43	30	55	100	30	55	1350	65
44	36	67	100	36	67	1842	42
45	35	85	100	35	71	1854	64
46	15	65	100	15	31	345	70
47	11	17	100	11	17	172	58
48	25	45	100	25	45	935	65
49	8	25	100	8	17	100	41
50	34	71	100	34	54	1525	41
