# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	11102
# calls	710528
# total_dp_cells	578638455
# total_rows	23510511
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	60559	57733	135286	297264	159686	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52439	40800	129328	333410	154315	185	47	4	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	710528	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	49874	54477	208019	81505	153408	72146	78621	12478	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
0	42	117	100	42	85	2667	95
1	55	116	100	55	111	3894	70
2	20	94	100	20	41	610	88
3	57	132	100	57	115	4611	90
4	37	69	100	37	69	2057	85
5	60	115	100	60	115	4501	85
6	31	57	100	31	57	1442	80
7	14	23	100	14	23	286	95
8	20	35	100	20	35	595	55
9	37	108	100	37	75	2072	90
10	60	115	100	60	115	3659	75
11	61	117	100	61	117	3705	76
12	25	91	100	25	51	950	95
13	40	93	100	40	81	2420	80
14	11	86	100	11	23	187	89
15	35	65	100	35	65	1840	87
16	10	65	100	10	21	155	94
17	20	93	100	20	41	610	54
18	78	152	100	78	17	297	22
19	8	73	100	8	17	100	95
20	12	64	100	12	25	222	90
21	30	55	100	30	55	1350	95
22	44	83	100	44	83	2911	77
23	19	88	100	19	39	551	69
24	8	73	100	8	17	100	95
25	8	73	100	8	17	100	95
26	16	27	100	16	27	377	85
27	15	60	100	15	31	345	90
28	8	73	100	8	17	100	95
29	14	23	100	14	23	286	50
30	15	70	100	15	31	345	90
31	15	86	100	15	31	345	95
32	40	75	100	40	75	2404	75
33	15	70	100	15	31	345	84
34	31	102	100	31	63	1457	90
35	39	73	100	39	73	2286	95
36	47	89	100	47	89	2916	57
37	27	82	100	27	55	1107	80
38	11	79	100	11	23	187	95
39	15	60	100	15	31	345	80
40	15	80	100	15	31	345	89
41	43	108	100	43	87	2795	95
42	58	111	100	58	61	2186	33
43	37	69	100	37	69	2057	82
44	11	17	100	11	17	172	95
45	58	111	100	58	111	4102	82
46	15	70	100	15	31	345	90
47	27	49	100	27	49	1092	82
48	42	79	100	42	79	2652	95
49	32	59	100	32	59	1537	95
50	33	104	100	33	67	1641	67
51	32	59	100	32	59	1537	95
52	39	73	100	39	73	2286	90
53	68	139	100	68	136	5066	68
54	50	95	100	50	95	3674	90
55	39	73	100	39	73	2286	86
56	5	79	100	5	11	40	80
57	10	15	100	10	15	140	90
58	39	73	100	39	73	2286	90
59	9	66	100	9	19	126	95
60	27	49	100	27	49	1092	95
61	39	73	100	39	73	2286	90
62	6	7	100	6	7	42	95
63	28	87	100	28	54	1187	72
64	42	79	100	42	79	2652	95
