# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	26294
# calls	1682797
# total_dp_cells	5337376551
# total_rows	121291518
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	136256	127088	201450	353504	581682	263052	19765	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	139193	110187	183378	364902	877545	7547	45	0	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	1682797	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	124661	36948	199622	219703	178895	176658	195588	319292	231430	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
0	83	161	100	83	161	7846	105
1	31	57	100	31	18	197	20
2	109	213	100	100	18	274	21
3	130	255	100	100	11	210	20
4	84	163	100	84	163	6957	88
5	83	161	100	83	141	5095	67
6	64	181	100	64	129	5994	116
7	1	2	100	1	2	2	20
8	106	207	100	100	32	792	29
9	97	189	100	97	29	864	29
10	97	189	100	97	26	742	26
11	123	241	100	100	45	1324	29
12	121	237	100	100	51	1382	27
13	83	200	100	83	158	7979	88
14	29	153	100	29	59	1276	143
15	1	2	100	1	2	2	26
16	122	239	100	100	14	222	19
17	123	241	100	100	153	8098	64
18	7	9	100	7	9	62	23
19	122	239	100	100	17	311	21
20	7	9	100	7	9	62	23
21	64	181	100	64	129	5993	116
22	64	181	100	64	129	5993	116
23	64	181	100	64	129	5993	116
24	8	11	100	8	11	71	20
25	34	63	100	34	10	105	19
26	108	211	100	100	14	258	21
27	122	239	100	100	144	9603	68
28	1	2	100	1	2	2	62
29	10	15	100	10	15	140	47
30	8	11	100	8	11	85	20
31	36	67	100	36	11	149	20
32	3	4	100	3	4	12	60
33	29	117	100	29	59	1276	143
34	126	247	100	100	11	193	19
35	64	181	100	64	125	4519	68
36	80	155	100	80	155	9253	139
37	75	145	100	75	17	248	20
38	64	181	100	64	129	5993	116
39	8	11	100	8	11	85	31
40	129	253	100	100	15	300	20
41	64	123	100	64	21	328	25
42	16	27	100	16	27	377	39
43	64	181	100	64	129	5993	116
44	64	123	100	64	61	1638	26
45	1	118	100	1	3	2	53
46	1	118	100	1	3	2	53
47	3	4	100	3	4	12	38
48	29	117	100	29	59	1276	138
49	1	110	100	1	3	2	27
50	95	185	100	95	129	9305	82
51	95	185	100	95	93	6035	69
52	123	241	100	100	26	521	27
53	26	47	100	26	32	612	26
54	1	2	100	1	2	2	54
55	98	191	100	98	23	348	26
56	64	181	100	64	129	5975	106
57	21	37	100	21	34	527	24
58	98	191	100	98	24	499	26
59	110	217	100	100	184	10670	81
60	1	2	100	1	2	2	149
61	1	2	100	1	2	2	149
62	96	187	100	96	40	665	22
63	112	219	100	100	89	4697	48
64	95	185	100	95	20	283	23
65	1	2	100	1	2	2	21
66	1	2	100	1	2	2	149
67	1	2	100	1	2	2	149
68	1	2	100	1	2	2	149
69	22	39	100	22	39	722	54
70	25	46	100	25	41	892	44
71	87	169	100	87	65	3109	64
72	1	2	100	1	2	2	149
73	27	50	100	27	50	1068	46
74	64	181	100	64	129	5993	112
75	39	73	100	39	29	640	25
76	89	173	100	89	32	753	25
77	1	60	100	1	3	2	53
78	10	15	100	10	15	140	28
79	64	123	100	64	97	3420	47
80	112	219	100	100	30	880	29
81	108	211	100	100	19	349	20
82	63	121	100	63	121	4709	76
83	63	121	100	63	121	4709	76
84	64	181	100	64	129	5839	104
85	72	139	100	72	139	7788	142
86	131	257	100	100	16	196	19
87	1	2	100	1	2	2	68
88	95	185	100	95	123	8737	77
89	64	181	100	64	129	5943	88
90	29	53	100	29	53	1261	121
91	38	71	100	38	71	2098	67
92	29	147	100	29	59	1276	137
93	29	53	100	29	53	1261	131
94	15	25	100	15	25	330	41
95	97	189	100	97	13	249	20
96	48	91	100	48	14	168	19
97	64	123	100	64	122	4544	71
98	1	107	100	1	3	2	72
99	79	203	100	79	159	9052	119
100	96	187	100	96	187	11416	133
101	95	185	100	95	33	758	26
102	41	77	100	41	18	244	20
103	64	181	100	64	129	5993	111
104	1	60	100	1	3	2	53
105	43	85	100	43	71	2387	47
106	64	181	100	64	129	5993	111
107	122	239	100	100	77	3072	42
108	70	135	100	70	89	2939	40
109	1	2	100	1	2	2	138
110	106	207	100	100	149	8972	69
111	127	249	100	100	18	330	19
112	29	53	100	29	53	1261	138
113	122	239	100	100	38	935	28
114	91	177	100	91	37	1120	32
115	22	39	100	22	12	202	19
116	29	147	100	29	59	1276	137
117	96	187	100	96	187	11416	133
118	1	2	100	1	2	2	69
119	1	2	100	1	2	2	69
120	122	239	100	100	64	1888	31
121	122	239	100	100	29	760	28
122	122	239	100	100	59	1732	31
123	93	181	100	93	181	11284	138
124	5	6	100	5	6	30	58
125	18	31	100	18	31	480	44
126	64	123	100	64	123	6161	147
127	122	239	100	100	82	4084	45
128	122	239	100	100	51	780	28
129	87	211	100	87	175	10445	127
130	80	155	100	80	155	9281	119
131	6	7	100	6	7	42	19
132	1	118	100	1	3	2	53
133	123	241	100	100	160	6010	46
134	3	5	100	3	5	14	33
135	1	118	100	1	3	2	53
136	9	13	100	9	13	111	28
137	1	2	100	1	2	2	133
138	123	241	100	100	141	4964	44
139	89	173	100	89	162	6278	85
140	5	6	100	5	6	30	23
141	122	239	100	100	46	817	28
142	95	185	100	95	106	5606	47
143	122	239	100	100	51	1008	28
144	87	211	100	87	175	10463	132
145	29	53	100	29	53	1261	128
146	79	153	100	79	153	9095	106
147	122	239	100	100	59	1535	28
148	11	17	100	11	16	137	19
149	1	2	100	1	2	2	26
150	29	147	100	29	59	1276	137
151	22	39	100	22	24	419	28
152	32	153	100	32	65	1550	62
153	112	219	100	100	30	667	23
154	79	153	100	79	43	1302	31
155	121	237	100	100	48	1006	27
156	87	181	100	87	102	6363	59
157	1	121	100	1	3	2	68
158	96	187	100	96	187	11416	133
159	1	85	100	1	3	2	128
160	26	47	100	26	16	284	24
161	64	123	100	64	123	5978	111
162	3	127	100	3	7	15	144
163	64	181	100	64	129	5993	114
164	15	128	100	15	31	345	134
165	64	181	100	64	129	5993	114
166	15	128	100	15	31	345	134
167	33	61	100	33	61	1635	122
168	64	181	100	64	129	5993	114
169	33	61	100	33	61	1635	124
170	79	153	100	79	153	8915	101
171	33	61	100	33	61	1635	129
172	123	241	100	100	142	6130	49
173	15	25	100	15	25	330	134
174	10	15	100	10	15	140	53
175	26	150	100	26	53	1027	112
176	1	2	100	1	2	2	70
177	33	61	100	33	61	1635	129
178	64	181	100	64	129	5993	114
179	64	123	100	64	123	5864	106
180	80	155	100	80	155	9281	119
181	6	7	100	6	7	42	20
182	33	61	100	33	61	1635	122
183	15	25	100	15	25	330	134
184	1	83	100	1	3	2	136
185	96	187	100	96	187	11416	133
186	80	155	100	80	155	9281	119
187	64	123	100	64	123	5978	111
188	122	239	100	100	34	572	28
189	3	7	100	3	7	15	48
190	3	7	100	3	7	15	48
191	15	25	100	15	25	330	134
192	107	209	100	100	30	771	27
193	9	13	100	9	13	111	23
194	29	147	100	29	59	1276	137
195	33	61	100	33	61	1635	114
196	103	201	100	100	15	230	20
197	33	61	100	33	61	1635	124
198	9	13	100	9	13	111	23
199	11	17	100	11	17	168	22
200	37	69	100	37	69	2057	128
201	1	88	100	1	3	2	62
202	72	139	100	72	139	7754	136
203	64	181	100	64	129	5640	103
204	92	179	100	92	120	4700	43
205	72	139	100	72	139	7754	136
206	1	2	100	1	2	2	69
207	15	25	100	15	25	330	134
208	112	219	100	100	116	2430	26
209	92	179	100	92	96	3391	37
210	29	147	100	29	59	1276	132
211	15	25	100	15	25	330	129
212	1	2	100	1	2	2	26
213	15	25	100	15	25	330	127
214	15	25	100	15	25	330	129
215	29	53	100	29	53	1261	118
216	15	25	100	15	25	330	127
217	13	21	100	13	21	245	44
218	1	110	100	1	3	2	62
219	21	37	100	21	37	657	38
220	25	45	100	25	45	935	101
221	1	2	100	1	2	2	134
222	94	183	100	94	49	1422	36
223	1	2	100	1	2	2	56
224	93	181	100	93	102	6946	56
225	15	25	100	15	25	330	122
226	1	83	100	1	3	2	136
227	1	60	100	1	3	2	62
228	64	181	100	64	129	5640	103
229	15	25	100	15	25	330	134
230	64	123	100	64	123	6161	137
231	33	61	100	33	61	1635	124
232	15	25	100	15	25	330	129
233	64	123	100	64	107	4329	58
234	1	70	100	1	3	2	62
235	127	249	100	100	12	220	19
236	87	211	100	87	175	10439	132
237	33	61	100	33	14	165	19
238	70	135	100	70	13	185	20
239	10	92	100	10	21	155	142
240	1	2	100	1	2	2	69
241	64	123	100	64	123	5978	111
242	64	181	100	64	129	5964	109
243	19	33	100	19	33	536	79
244	29	53	100	29	53	1261	123
245	80	155	100	80	155	9281	114
246	29	53	100	29	53	1261	123
247	109	213	100	100	23	502	25
248	106	207	100	100	154	6112	39
249	29	53	100	29	53	1261	123
250	13	21	100	13	21	245	25
251	1	2	100	1	2	2	149
252	1	2	100	1	2	2	149
253	1	2	100	1	2	2	149
254	1	2	100	1	2	2	149
255	1	2	100	1	2	2	149
256	21	37	100	21	11	117	20
257	79	153	100	79	12	180	21
258	30	112	100	30	61	1365	119
259	64	123	100	64	123	5979	106
260	123	241	100	100	134	5254	35
261	1	2	100	1	2	2	131
262	70	135	100	70	135	7370	144
263	9	13	100	9	13	111	125
264	29	53	100	29	53	1261	138
265	1	2	100	1	2	2	26
266	28	145	100	28	57	1157	54
267	28	145	100	28	57	1157	54
268	71	137	100	71	137	7473	125
269	71	137	100	71	137	7492	115
270	14	101	100	14	29	301	115
271	123	241	100	100	150	6694	42
272	1	85	100	1	3	2	87
273	33	61	100	33	17	251	20
274	62	119	100	62	119	5782	144
275	81	157	100	81	157	9457	134
276	72	139	100	72	139	7754	131
277	99	193	100	99	37	1607	40
278	80	155	100	80	155	9281	119
279	57	109	100	57	11	143	19
280	64	123	100	64	123	5763	95
281	12	19	100	12	16	178	22
282	1	2	100	1	2	2	131
283	1	2	100	1	2	2	87
284	123	241	100	100	66	2194	30
285	72	139	100	72	139	7753	97
286	1	2	100	1	2	2	102
287	31	57	100	31	44	969	35
288	1	2	100	1	2	2	34
289	79	153	100	79	153	9095	106
290	37	69	100	37	69	2057	144
291	124	243	100	100	10	171	19
292	64	123	100	64	123	5925	106
293	1	66	100	1	3	2	68
294	13	21	100	13	14	162	19
295	91	177	100	91	110	5005	44
296	1	2	100	1	2	2	26
297	81	157	100	81	157	9457	134
298	1	108	100	1	3	2	110
299	39	73	100	39	73	2286	139
300	81	157	100	81	157	9457	134
301	37	69	100	37	69	2057	144
302	1	108	100	1	3	2	110
303	1	2	100	1	2	2	102
304	39	73	100	39	73	2286	139
305	40	75	100	40	75	2405	71
306	23	41	100	23	41	790	84
307	131	257	100	100	18	343	19
308	39	73	100	39	73	2286	139
309	1	108	100	1	3	2	110
310	39	73	100	39	73	2286	139
311	37	69	100	37	69	2057	144
312	62	119	100	62	119	5773	90
313	39	73	100	39	73	2286	139
314	37	69	100	37	69	2057	144
315	1	2	100	1	2	2	69
316	1	2	100	1	2	2	62
317	87	169	100	87	84	5744	74
318	1	2	100	1	2	2	131
319	1	2	100	1	2	2	149
320	110	223	100	100	31	671	39
321	102	199	100	100	30	743	35
322	1	2	100	1	2	2	97
323	106	207	100	100	16	210	20
324	79	153	100	79	153	8914	96
325	87	169	100	87	86	5773	74
326	87	169	100	87	86	5773	74
327	7	9	100	7	9	62	102
328	87	169	100	87	84	5736	74
329	1	2	100	1	2	2	26
330	37	69	100	37	69	2057	144
331	37	69	100	37	69	2057	135
332	124	243	100	100	146	5780	46
333	123	241	100	100	138	5577	44
334	37	69	100	37	69	2057	135
335	1	2	100	1	2	2	47
336	1	2	100	1	2	2	26
337	79	153	100	79	153	9094	106
338	87	169	100	87	83	5704	74
339	37	69	100	37	69	2057	144
340	18	31	100	18	25	417	36
341	1	2	100	1	2	2	62
342	28	51	100	28	51	1109	49
343	102	199	100	100	129	8080	64
344	28	51	100	28	51	1143	49
345	67	129	100	67	129	6752	144
346	81	157	100	81	157	9457	131
347	72	139	100	72	139	7754	131
348	93	181	100	93	60	3481	56
349	4	5	100	4	5	20	19
350	72	139	100	72	139	7725	97
351	7	9	100	7	9	62	102
352	64	123	100	64	123	6161	142
353	67	129	100	67	129	6752	144
354	1	2	100	1	2	2	47
355	72	139	100	72	139	7754	131
356	25	45	100	25	27	471	21
357	20	35	100	20	35	536	35
358	108	232	100	100	194	11073	94
359	81	157	100	81	157	9457	134
360	109	213	100	100	15	252	19
361	64	123	100	64	123	6000	113
362	67	129	100	67	129	6752	144
363	16	140	100	16	33	392	109
364	64	123	100	64	123	6161	142
365	81	157	100	81	157	9457	134
366	29	53	100	29	53	1261	132
367	89	173	100	89	166	9634	97
368	67	129	100	67	129	6752	144
369	1	2	100	1	2	2	70
370	1	66	100	1	3	2	68
371	1	2	100	1	2	2	149
372	1	2	100	1	2	2	149
373	1	2	100	1	2	2	149
374	1	2	100	1	2	2	131
375	1	2	100	1	2	2	149
376	23	41	100	23	41	790	68
377	35	65	100	35	65	1840	61
378	1	2	100	1	2	2	149
379	64	123	100	64	123	6161	142
380	1	2	100	1	2	2	62
381	79	153	100	79	153	9095	106
382	1	2	100	1	2	2	149
383	1	2	100	1	2	2	149
384	1	2	100	1	2	2	149
385	1	2	100	1	2	2	149
386	28	51	100	28	51	1143	49
387	64	123	100	64	123	6000	107
388	113	221	100	100	18	252	19
389	93	181	100	93	50	2424	46
390	1	2	100	1	2	2	134
391	1	111	100	1	3	2	68
392	71	137	100	71	137	5909	79
393	87	169	100	87	86	5773	74
394	125	249	100	100	19	382	24
395	129	253	100	100	29	557	22
396	87	169	100	87	86	5864	74
397	28	51	100	28	51	953	39
398	50	102	100	50	101	3775	99
399	1	2	100	1	2	2	62
400	1	2	100	1	2	2	70
401	1	2	100	1	2	2	62
402	93	181	100	93	49	2357	46
403	64	123	100	64	123	6001	98
404	67	129	100	67	129	6752	144
405	79	153	100	79	153	9095	106
406	1	66	100	1	3	2	68
407	7	9	100	7	9	62	105
408	1	66	100	1	3	2	68
409	67	129	100	67	129	6752	144
410	89	173	100	89	173	9733	102
411	33	61	100	33	44	1114	31
