dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	0	0	0	0	0	19660976	19660976	89570	2.210541
ERR1203383	PE	1	0	1	6	0	117964892	137625820	19660928	87772	2.177885
ERR1203383	PE	1	0	2	12	0	235929600	255590496	19660896	86232	1.890038
ERR1203383	PE	1	0	3	18	0	353894520	373555416	19660896	86232	1.911389
ERR1203383	PE	1	0	4	24	0	471859212	491520108	19660896	86232	1.85491
ERR1203383	PE	1	0	5	30	0	589824132	609484800	19660668	86231	2.065356
ERR1203383	PE	1	0	6	36	0	707788824	727449720	19660896	86232	1.906754
ERR1203383	PE	1	0	7	42	0	825753744	845414412	19660668	86231	2.114913
ERR1203383	PE	1	0	8	48	0	943718436	963379332	19660896	86232	2.157737
ERR1203383	PE	1	0	9	54	0	1061683356	1081344024	19660668	86231	1.772266
ERR1203383	PE	1	0	10	60	0	1179648048	1199308944	19660896	86232	2.196827
ERR1203383	PE	1	0	11	66	0	1297612968	1317273636	19660668	86231	2.453595
ERR1203383	PE	1	0	12	72	0	1415577660	1435238556	19660896	86232	1.783256
ERR1203383	PE	1	0	13	78	0	1533542580	1553203248	19660668	86231	1.701097
ERR1203383	PE	1	0	14	84	0	1651507272	1671168168	19660896	86232	1.654867
ERR1203383	PE	1	0	15	90	0	1769472192	1789132860	19660668	86231	1.860782
ERR1203383	PE	1	0	16	96	0	1887436884	1907097780	19660896	86232	1.895436
ERR1203383	PE	1	0	17	102	0	2005401804	2025062472	19660668	86231	1.654716
ERR1203383	PE	1	0	18	108	0	2123366496	2143027392	19660896	86232	1.766677
ERR1203383	PE	1	0	19	114	0	2241331416	2260992084	19660668	86231	2.128183
ERR1203383	PE	1	0	20	120	0	2359296220	2378956828	19660608	84744	1.848847
ERR1203383	PE	1	0	21	126	0	2477261028	2496921636	19660608	84744	1.75788
ERR1203383	PE	1	0	22	132	0	2595225604	2614886444	19660840	84745	1.963654
ERR1203383	PE	1	0	23	138	0	2713190412	2732851252	19660840	84745	1.766186
ERR1203383	PE	1	0	24	144	0	2831155220	2850816060	19660840	84745	1.7094
ERR1203383	PE	1	0	25	150	0	2949120028	2968780868	19660840	84745	1.727993
ERR1203383	PE	1	0	26	156	0	3067084836	3086745676	19660840	84745	1.672273
ERR1203383	PE	1	0	27	162	0	3155558500	3160473652	4915152	21186	0.534643
ERR1203383	PE	1	0	28	168	0	3185049644	3189965028	4915384	21187	0.535313
ERR1203383	PE	1	0	29	174	0	3214541020	3219456172	4915152	21186	0.365987
ERR1203383	PE	1	0	30	180	0	3244032164	3248947316	4915152	21186	0.449236
ERR1203383	PE	1	0	31	186	0	3273523308	3278438460	4915152	21186	0.53413
ERR1203383	PE	1	0	32	192	0	3303014452	3307929604	4915152	21186	0.487685
ERR1203383	PE	1	0	33	198	0	3332505828	3337420980	4915152	21186	0.681608
ERR1203383	PE	1	0	34	204	0	3361996972	3366912124	4915152	21186	0.646647
ERR1203383	PE	1	0	35	210	0	3391488116	3396403268	4915152	21186	0.475647
ERR1203383	PE	1	0	36	216	0	3420979260	3425894412	4915152	21186	0.550469
ERR1203383	PE	1	0	37	222	0	3450470404	3455385788	4915384	21187	0.628829
ERR1203383	PE	1	0	38	228	0	3479961780	3484876932	4915152	21186	7.694408
ERR1203383	PE	1	1	0	1	1	19660976	39321628	19660652	87957	2.331774
ERR1203383	PE	1	1	1	7	1	137625820	157286524	19660704	87771	1.917653
