log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-40	25.640-27.604	60.030-69.771	1.162	57.683-67.339	1.167	0.001294-0.210893	44.882-51.550	229	12.178161	228	232	0	0
ERR1203383_PE.run02.log	ERR1203383	PE	2	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-40	25.088-27.349	60.017-69.778	1.163	57.681-67.341	1.167	0.001303-0.199967	47.788-53.278	229	12.172337	230	232	0	0
ERR1203383_PE.run03.log	ERR1203383	PE	3	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-40	23.747-25.781	60.025-70.212	1.170	57.677-67.612	1.172	0.027274-0.135512	48.315-56.065	229	12.168871	230	232	0	0
ERR1203383_SE.run01.log	ERR1203383	SE	1	6	15274680	3590277649	c4f605909a9eaa84	dd9be621d24957ae	1	38-39	13.638-15.651	24.712-26.816	1.085	22.713-24.809	1.092	0.001803-0.183145	42.501-50.852	229	2.127569	228	232	0	0
ERR1203383_SE.run02.log	ERR1203383	SE	2	6	15274680	3590277649	c4f605909a9eaa84	dd9be621d24957ae	1	38-39	13.727-15.512	24.611-26.920	1.094	22.595-24.884	1.101	0.067483-0.141697	44.704-50.487	229	2.147241	230	232	0	0
ERR1203383_SE.run03.log	ERR1203383	SE	3	6	15274680	3590277649	c4f605909a9eaa84	dd9be621d24957ae	1	38-39	14.638-15.585	24.769-26.915	1.087	22.703-24.887	1.096	0.001687-0.226986	42.474-47.912	229	2.155756	230	232	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	28-45	28.968-37.548	61.418-70.364	1.146	58.899-68.330	1.160	0.011289-0.319936	39.232-46.385	100	9.406111	235	237	0	0
SRR2496709_PE.run02.log	SRR2496709	PE	2	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	27-46	30.056-37.987	61.261-70.285	1.147	58.694-68.281	1.163	0.058301-0.359054	35.818-47.178	100	9.413651	234	237	0	0
SRR2496709_PE.run03.log	SRR2496709	PE	3	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	30-44	29.408-37.627	61.210-71.112	1.162	58.642-69.056	1.178	0.048699-0.293686	38.021-45.966	100	9.463655	234	237	0	0
SRR2496709_SE.run01.log	SRR2496709	SE	1	6	12607411	3685790019	db44bb6c112040ba	337219a8b7ce62fa	1	39-40	13.104-16.801	24.625-28.253	1.147	22.642-26.191	1.157	0.002151-0.120571	40.822-49.760	100	2.228845	232	237	0	0
SRR2496709_SE.run02.log	SRR2496709	SE	2	6	12607411	3685790019	db44bb6c112040ba	337219a8b7ce62fa	1	38-41	13.976-17.982	24.378-28.217	1.157	22.391-26.101	1.166	0.023268-0.245264	37.910-47.803	100	2.230218	233	237	0	0
SRR2496709_SE.run03.log	SRR2496709	SE	3	6	12607411	3685790019	db44bb6c112040ba	337219a8b7ce62fa	1	38-41	14.716-18.232	24.673-28.188	1.142	22.637-26.157	1.155	0.069953-0.211811	36.463-44.304	100	2.231607	232	237	0	0
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	6	20000000	8434324786	e31564c82ea77aa3	39ae379a71398f41	1	42-43	18.411-25.145	227.157-235.433	1.036	224.632-232.773	1.036	0.001225-0.135136	55.032-69.288	0	10.354868	250	254	0	0
small_SRR7963242_PE.run02.log	small_SRR7963242	PE	2	6	20000000	8434324786	e31564c82ea77aa3	39ae379a71398f41	1	42-43	19.999-25.761	226.095-232.131	1.027	223.657-229.771	1.027	0.001190-0.164949	53.529-67.834	0	10.273796	251	254	0	0
small_SRR7963242_PE.run03.log	small_SRR7963242	PE	3	6	20000000	8434324786	e31564c82ea77aa3	39ae379a71398f41	1	42-43	21.877-25.988	226.709-231.034	1.019	224.242-228.470	1.019	0.001260-0.148024	53.200-67.082	0	10.249471	250	254	0	0
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	6	10000000	3920595145	9c841b9019c7d950	903fd6c660f2da8e	1	42-43	9.300-10.915	52.522-53.945	1.027	50.307-51.776	1.029	0.001200-0.191454	61.310-76.739	0	2.944834	250	254	0	0
small_SRR7963242_SE.run02.log	small_SRR7963242	SE	2	6	10000000	3920595145	9c841b9019c7d950	903fd6c660f2da8e	1	42-43	11.198-13.009	52.336-53.800	1.028	50.123-51.650	1.030	0.001937-0.192296	50.418-66.425	0	2.936674	250	254	0	0
small_SRR7963242_SE.run03.log	small_SRR7963242	SE	3	6	10000000	3920595145	9c841b9019c7d950	903fd6c660f2da8e	1	42-43	9.702-11.502	52.291-53.755	1.028	50.096-51.507	1.028	0.001161-0.190115	56.048-77.188	0	2.969355	252	254	0	0
