log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	38.818	65.54	62.905	30.572	36.645	46	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,171,178,185,186,193,200,207,214,221,216,229,236,243,250,257,246,259,266,269	1.060194	65.540183	5131962	1351392154	cc584adfae9c6b3f	375d2f648b649405	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	36.994	68.403	65.959	29.152	37.707	40	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,234,241,248,255,268	0.895981	68.40344	5031194	1323880804	0754acf23b73cd25	96505a0ee0817057	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	36.989	66.855	64.14	26.866	40.827	45	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,262,263,264,119,120,127,134,141,148,155,156,163,170,177,184,191,192,199,206,213,220,227,222,223,230,237,238,245,258,265,270	1.094475	66.855366	5020232	1323475376	7f3ce536e13de8e6	8b558483894fd31c	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	39.411	65.015	62.269	28.999	37.663	46	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,228,235,242,249	0.99703	65.014824	4999038	1311769953	cc469042f4846c24	83bdb9da1264dcde	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	39.067	64.751	62.081	29.136	38.509	47	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,114,121,128,135,142,149,150,157,164,165,172,179,180,187,194,201,208,215,210,217,224,231,244,251,252,253,260,267	1.335508	64.750679	5131872	1346227324	d32d41d297d4c936	8c59b412ecd62344	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	5	37.725	68.175	65.473	32.496	35.196	47	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106	1.035046	68.174908	5235062	1373125790	e883580e54d7c069	3a5ac3af026cc27b	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	0	19.078	25.722	23.57	12.636	43.032	41	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,183,190,197,198,205,212,219,226,233,234,241,248,255,268	0.972369	25.722089	2491827	586550755	8584cb574e5ab176	478d3a1b82cde7b0	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	1	19.463	26.69	24.537	14.685	38.282	45	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,210,217,224,231,244,251,246,253,260,270	1.120922	26.68997	2572388	605530786	f82b3031269af296	6246a8b4f2e05288	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	2	19.406	26.567	24.341	14.546	37.785	46	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,262,269	1.018624	26.566836	2515413	593226243	c2c42de0a16f854b	f4f6f69de1145787	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	3	19.595	26.755	24.457	13.347	42.145	48	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104	0.974465	26.754753	2573673	603617380	9a9d05db3ce3a372	05efd1d8a9e7e28a	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	4	19.712	26.202	23.935	13.24	42.661	47	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,112,118,125,126,133,140,147,154,161,162,163,164,165,172,179,180,187,194,201,208,215,216,229,236,243,250,257,258,265,267,119,120,127,134,141,148,155,156,169,170,171,178,185,186,193,200,207,214,221,222,223,230,237,238,245,252,259,266	1.259206	26.201517	2583297	605859837	628b67a2eea8ce4d	9f9a320aa8d4e203	1
ERR1203383_SE.run01.log	ERR1203383	SE	1	5	20.125	25.977	23.836	16.689	33.214	44	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,114,121,128,135,142,149,150,157,176,177,184,191,192,199,206,213,220,227,228,235,242,249,256,263,264	0.971336	25.976848	2538082	595492648	87596ea958ad0f6e	96d361c14243b598	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	0	32.765	63.246	60.331	26.649	45.966	52	0,7,14,21,22,29,30,37,44,51,58,65,66,73,80,87,88,95,96,103,110,117,124,131,132,133,140,147,154,161,162	1.181574	63.246227	4582714	1470146376	d99f48b9f3dd6903	d096c04ece1cb6a5	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	1	28.213	70.547	67.97	21.802	48.268	47	1,8,15,28,35,36,43,50,57,64,71,72,79,86,93,100,119,120	1.098433	70.546687	3931834	1260664339	b7b0235992c6b327	7348424d76f4b5fd	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	2	33.921	64.209	61.748	26.845	39.987	41	2,9,16,23,24,31,38,45,52,59,60,67,74,81,94,101,102,109,116,176,183,190,197,198,199,206,213,220,227,228,229,236,243,250,257,258,259,266,273,134,141,148,155,156,163,164,165,166,173,174,181,188,195,202,209,210,211,218,225,232,239,240,247,254,261,268,271,123,130,137,138,145,152,159,184,191,192,193,200,207,214,221,222,235,242,249,262,269,270	0.984358	64.209497	4012874	1291597041	318bd27ec349380b	5c56be1db15a044d	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	3	31.453	66.19	63.656	28.218	41.114	42	3,10,17,18,25,32,39,40,47,48,55,62,69,76,77,78,85,92	1.023825	66.190315	4337384	1389302460	10be0f8b66bd42cb	fa6e46480dba8dab	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	4	31.188	65.625	62.924	27.109	44.612	48	4,11,12,19,26,33,34,41,42,49,56,63,70,83,84,91,98,105	1.116309	65.624993	4520790	1454035112	0f8834921d9e3582	1cf1b38a247a39ca	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	5	32.451	65.709	63.127	26.261	39.002	44	5,6,13,20,27,46,53,54,61,68,75,82,89,90,97,104,111,118	1.174618	65.708628	3829226	1253854872	73ce50e6faaf8d9c	87caaf0207487f3c	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	0	15.08	27.411	25.051	11.355	48.814	47	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100	1.005531	27.411335	2072568	604098699	592a5da14b47b875	85fff7d8184440fb	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	1	16.324	26.604	24.349	11.952	48.631	46	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,88,95,96	1.114806	26.604306	2173228	636877715	2043aebb9b7b227a	aca46769e06f9fe8	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	2	16.545	26.559	24.408	12.5	42.282	43	2,9,16,23,24,31,38,45,52,59,60,67,74,81,94,101,102,109,114,115,122,129,136,143,144,151,164,165,166,173,174,181,188,195,202,209,210,217,224,231,238,245,246,253,260,267,271,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,268,123,130,137,138,145,152,159,172,179,180,205,212,219,226,227,228,229,236,243,250,257,258,265,272	1.046285	26.558715	1976148	578071240	d5615715cb5e9d19	fd5884db902779a7	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	3	17.283	25.65	23.421	13.523	40.904	46	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104	1.108789	25.649743	2067999	602563360	bfc820884508938c	734863c45919a3ce	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	4	15.994	26.784	24.578	13.729	42.507	45	4,11,12,19,26,33,34,41,42,49,56,63,70,77,78,85,92,99	1.089925	26.784354	2181709	635381411	aecb0624d6c75fe8	b08930b0dd6ff6b0	1
SRR2496709_SE.run01.log	SRR2496709	SE	1	5	16.165	26.421	24.16	12.851	44.471	47	5,6,13,20,27,40,47,48,55,62,69,76,83,84,91,98,105,112	1.027856	26.420987	2135759	628797594	1de2314c432ed53e	24b05eb65bb49130	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	0	31.414	230.752	227.971	23.049	52.47	48	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,165,172,179,180,187,194,201,208,215,216,223,230,237,244,251,252,259,266,273,280,287	1.189752	230.751754	3341828	1409439704	2ef863eb9e0d7816	ad5333fc3da17b00	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	1	30.875	231.018	228.273	23.106	52.745	52	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,159,166,173,174,175,176,177,178,185,186,193,200,207,214,221,222,229,236,243,250,257,258,265,272,279,286	1.31834	231.017729	3367338	1420229398	df0c2639b4abaa39	774d55041aeeb535	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	2	28.704	232.978	230.339	25.204	48.634	49	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,117,124,131,132,139,146,153,160,167,168,181,182,183,190,197,198,205,212,219,226,233,228,235,248,255,262,269,270,277,284	1.173981	232.977955	3385736	1427910216	66c1af657ce2b48a	7e39d2fd1631b072	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	3	33.326	229.03	226.4	27.973	43.15	47	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,188,189,196,203,204,211,218,225,232,239,240,247,254,261,268,275,276,283	1.138424	229.0303	3335096	1406266803	6eee88238c2967b7	64eabd7b0bb28c81	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	4	32.719	229.001	226.536	26.388	44.838	46	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,112,119,120,127,134,141,148,155,156,163,170,195,202,209,210,217	0.902225	229.000864	3268338	1378176119	158a967fb5eaecc2	9974e5c58b5e2f98	1
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	5	34.643	227.504	224.932	27.492	43.478	48	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,231,238,245,246,253,260,267,274,281,282,289,114,121,128,135,142,149,150,157,164,171,184,191,192,199,206,213,220,227,234,241,242,249,256,263,264,271,278,285,288	1.102379	227.503768	3301664	1392302546	e9d60c9a1cf74f51	6017db21c0ab521f	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	0	11.583	54.293	51.889	9.126	66.133	47	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107	1.244836	54.292683	1667680	653878748	4245c5df205e2b5b	ce1738ba20731535	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	1	13.361	53.627	51.375	9.67	61.928	49	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101	1.116447	53.626678	1654565	648787412	0b7899ee932096b8	c4bd948bf9327502	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	2	12.878	53.777	51.473	8.946	67.072	47	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,115,122,129,136,143,144,151,158,165,172,179,180,187,194,201,208,215,216,223,230,237,250,257,258,265,272,279,282,109,116,123,130,137,138,145,152,159,166,173,174,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,268,275,276,283,117,124,131,132,139,146,153,160,167,168,181,188,195,202,209,210,217,224,231,238,245,246,253,260,267,274,281,288	1.165125	53.776798	1657297	649758077	49649143b01633b6	d60069fe18d82c40	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	3	12.883	53.83	51.465	9.607	63.189	50	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104	1.172847	53.829521	1677249	657514095	fd9de2bb49fed01f	7bafcbe96e8f1251	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	4	13.292	53.632	51.424	10.139	59.622	48	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98	1.233916	53.632068	1669741	654605212	d5f64128b9462660	a1349f8256aade22	1
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	5	13.301	53.483	51.127	10.459	57.928	49	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,234,241,242,249,256,263,264,271,278,285,286,112,119,120,127,134,141,148,155,156,163,170,177,184,191,192,199,206,213,220,227,228,235,248,255,262,269,270,277,284,289,114,121,128,135,142,149,150,157,164,171,178,185,186,193,200,207,214,221,222,229,236,243,244,251,252,259,266,273,280,287	1.177474	53.482884	1673468	656051601	31cd069ab2eded08	960e4762994e5a8a	1
