log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	22.021	32.603	30.952	16.965	33.985	24	0,13,26,39,52,65,78,91,104,117,130,143,144,157,182,183,184,209,198,247,248,261,286,299	0.765431	32.602818	2639346	694222256	13ed47e3ae7bd14e	b8bcb716292a8bee	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	20.109	35.835	34.119	16.194	35.17	27	1,14,27,40,53,66,79,92,105,118,131,132,145,158,195,208,185,210,211,224,237,250,263,264,277,290,303	0.647063	35.835034	2604334	686348743	3116d3dd54bac994	a28b82b9c88865da	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	22.502	32.574	30.932	16.861	32.945	21	2,15,28,41,54,67,80,93,106,119,120,133,146,159,172,197,234,259,272,285,298	0.553291	32.573551	2540410	668052525	e371f972cb8290d8	b86f5a3f05a8479c	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	21.483	32.967	31.233	16.365	34.476	28	3,16,29,42,55,68,81,94,107,108,121,134,147,160,161,162,175,188,201,214,227,228,229,242,255,268,281,306	0.988595	32.96668	2582814	677311653	1d93215d5c14db88	c44824b83c37ba3c	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	22.414	32.648	31.025	17.009	31.694	26	4,17,30,43,56,69,82,95,96,109,122,135,148,173,186,199,212,225,238,251,252,253,266,279,292,305	0.733877	32.648427	2469236	649442514	392efa40ebcbaafc	b142b073531a21f2	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	5						27				2479818	650405152	12e5459fa7069f01	cacb0b7bc338c63f	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	20.463	32.28	30.527	15.419	37.545	28	5,18,31,44,57,70,83,84,97,110,123,136,149,174,187,200,213,226,239,240,241,254,267,280,293,294,304,6,19,32,45,58,71,72,85,98,111,124,137,150,163,164,165,166,179,180,181,194,219,232,245,258,271,284	0.929812	32.280195	2649308	694975535	9f31ffcf10b59354	8847eeee4a6f011c	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	7	21.021	35.315	33.701	17.403	31.783	26	7,20,33,46,59,60,73,86,99,112,125,138,151,176,177,190,203,204	0.725123	35.315004	2532782	664470332	d50938d667ba4a43	12274ebfba3c5dd7	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	8	19.606	37.013	35.511	15.543	33.325	20	8,21,34,47,48,61,74,87,100,113,126,139,152,189,202,215,216,265,230,243,256,269,282,295,300,291	0.516246	37.012785	2373888	625071771	7e11dc56d883aa9d	1d1a2778652999f3	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	9	20.008	35.69	33.996	15.009	36.54	24	9,22,35,36,49,62,75,88,101,114,127,140,153,178,191,192,193,206	0.622488	35.689961	2511608	662094649	b53f4a7a216a97ec	ee7b10c4a24b76da	1
