dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	0	0	0	0	0	19660976	19660976	89570	2.36525
ERR1203383	PE	1	0	1	7	1	137625820	157286524	19660704	87771	1.865593
ERR1203383	PE	1	0	2	14	2	275251392	294912060	19660668	86231	1.790049
ERR1203383	PE	1	0	3	21	3	412876980	432537648	19660668	86231	2.090928
ERR1203383	PE	1	0	4	28	4	550502568	570163236	19660668	86231	1.73883
ERR1203383	PE	1	0	5	35	5	688128156	707788824	19660668	86231	1.77759
ERR1203383	PE	1	0	6	36	0	707788824	727449720	19660896	86232	1.83699
ERR1203383	PE	1	0	7	43	1	845414412	865075308	19660896	86232	2.0868
ERR1203383	PE	1	0	8	50	2	983040000	1002700896	19660896	86232	2.207844
ERR1203383	PE	1	0	9	57	3	1120665816	1140326484	19660668	86231	1.526481
ERR1203383	PE	1	0	10	64	4	1258291404	1277952072	19660668	86231	1.850241
ERR1203383	PE	1	0	11	71	5	1395916992	1415577660	19660668	86231	1.865472
ERR1203383	PE	1	0	12	72	0	1415577660	1435238556	19660896	86232	1.707637
ERR1203383	PE	1	0	13	79	1	1553203248	1572864144	19660896	86232	2.075611
ERR1203383	PE	1	0	14	86	2	1690828836	1710489732	19660896	86232	1.959774
ERR1203383	PE	1	0	15	93	3	1828454424	1848115320	19660896	86232	1.537908
ERR1203383	PE	1	0	16	100	4	1966080012	1985740908	19660896	86232	1.933654
ERR1203383	PE	1	0	17	107	5	2103705600	2123366496	19660896	86232	1.560865
ERR1203383	PE	1	0	18	108	0	2123366496	2143027392	19660896	86232	1.704442
ERR1203383	PE	1	0	19	115	1	2260992084	2280652860	19660776	85846	2.147285
ERR1203383	PE	1	0	20	122	2	2398617668	2418278508	19660840	84745	2.101993
ERR1203383	PE	1	0	21	129	3	2536243316	2555904156	19660840	84745	1.397414
ERR1203383	PE	1	0	22	136	4	2673868964	2693529804	19660840	84745	1.7785
ERR1203383	PE	1	0	23	143	5	2811494612	2831155220	19660608	84744	1.739171
ERR1203383	PE	1	0	24	144	0	2831155220	2850816060	19660840	84745	1.636926
ERR1203383	PE	1	0	25	151	1	2968780868	2988441708	19660840	84745	1.798159
ERR1203383	PE	1	0	26	158	2	3106406516	3126067356	19660840	84745	1.971166
ERR1203383	PE	1	0	27	165	3	3170304188	3175219340	4915152	21186	0.422952
ERR1203383	PE	1	0	28	172	4	3204710484	3209625636	4915152	21186	0.453298
ERR1203383	PE	1	0	29	179	5	3239117012	3244032164	4915152	21186	0.58658
ERR1203383	PE	1	0	30	180	0	3244032164	3248947316	4915152	21186	0.439968
ERR1203383	PE	1	0	31	187	1	3278438460	3283353612	4915152	21186	0.541915
ERR1203383	PE	1	0	32	194	2	3312844988	3317760140	4915152	21186	0.472851
ERR1203383	PE	1	0	33	201	3	3347251284	3352166436	4915152	21186	0.563991
ERR1203383	PE	1	0	34	208	4	3381657812	3386572964	4915152	21186	0.523011
ERR1203383	PE	1	0	35	215	5	3416064108	3420979260	4915152	21186	0.634482
ERR1203383	PE	1	0	36	210	0	3391488116	3396403268	4915152	21186	0.472588
ERR1203383	PE	1	0	37	217	1	3425894412	3430809796	4915384	21187	0.643025
ERR1203383	PE	1	0	38	224	2	3460300940	3465216092	4915152	21186	0.53667
ERR1203383	PE	1	0	39	231	3	3494707236	3499281348	4574112	19716	10.081563
