log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	28.393	66.425	63.639	23.07	49.144	40	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,165,172,179,180,187,194,201,208,215,210,217,224,231	0.816077	66.425468	5192574	1365665098	007e66c3e266c8a5	7d4662ef1560a9c5	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	28.028	69.967	67.519	23.64	46.796	37	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,159,166	0.785014	69.967095	5062976	1332211163	55688c3305ffcd85	df77093a9a4b840d	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	27.618	59.221	56.751	21.784	49.922	38	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,174,181,188,195,202,209,222,229,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225	0.928378	59.22138	4977856	1311601579	046dac26843e44de	af09ac18327bee8c	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	29.446	63.186	60.572	22.513	48.721	39	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104	0.879323	63.186304	5020230	1318819217	eb92380f088b9f84	e0797cb4c92400d0	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	30.299	56.353	53.841	23.905	46.67	38	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,11,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,228,119,120,127,134,141,148,155,156,163,170,177,184,191,192,199,206,213,220,227	0.981573	56.352781	5103030	1339129376	be241264c6907a31	b6be7897d94e4183	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	5	29.34	68.3	65.783	23.837	47.589	40	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,114,121,128,135,142,149,150,157,164,171,178,185,186,193,200,207,214,221,216,223,230	0.830924	68.299829	5192694	1362444968	d6d61d9b70be2250	4419fc60b34e88b8	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	0	29.0	67.917	65.357	23.819	47.231	39	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,177,178,185,186,193,200,207,214,221,216,223,230	0.859364	67.916816	5153146	1356202147	c3cd59b713ceba23	a8ecf13cf7d62b7d	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	1	27.586	69.905	67.434	24.548	45.064	37	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,228,119,120,127,134,141,148,155,156,163,170,171,184,191,192,199,206,213,220,227	0.798257	69.904617	5062976	1332211163	55688c3305ffcd85	df77093a9a4b840d	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	2	27.483	59.309	56.832	22.466	48.406	38	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,166,173,174,181,188,195,202,209,222,229,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225	0.899981	59.309333	4977856	1311601579	046dac26843e44de	af09ac18327bee8c	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	3	28.711	63.243	60.528	21.705	50.537	39	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104	0.904158	63.242869	5020230	1318819217	eb92380f088b9f84	e0797cb4c92400d0	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	4	29.062	56.505	53.993	24.439	45.649	38	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105	1.15845	56.504642	5103030	1339130913	32ba68cf5775db8c	1ba77ef3304d9e58	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	5	27.831	66.609	64.033	24.316	47.01	41	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,114,121,128,135,142,149,150,157,164,165,172,179,180,187,194,201,208,215,210,217,224,231	0.97668	66.609025	5232122	1371906382	9ef0d43dae70cf77	3caa69d7b8fbd5db	1
