dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	0	0	0	0	0	19660976	19660976	89570	2.23483
ERR1203383	PE	1	0	1	7	1	137625820	157286524	19660704	87771	1.940338
ERR1203383	PE	1	0	2	14	2	275251392	294912060	19660668	86231	1.853892
ERR1203383	PE	1	0	3	21	3	412876980	432537648	19660668	86231	2.158584
ERR1203383	PE	1	0	4	28	4	550502568	570163236	19660668	86231	1.807899
ERR1203383	PE	1	0	5	35	5	688128156	707788824	19660668	86231	1.846013
ERR1203383	PE	1	0	6	36	0	707788824	727449720	19660896	86232	1.898098
ERR1203383	PE	1	0	7	43	1	845414412	865075308	19660896	86232	2.1374
ERR1203383	PE	1	0	8	50	2	983040000	1002700896	19660896	86232	2.259188
ERR1203383	PE	1	0	9	57	3	1120665816	1140326484	19660668	86231	1.621878
ERR1203383	PE	1	0	10	64	4	1258291404	1277952072	19660668	86231	1.944434
ERR1203383	PE	1	0	11	71	5	1395916992	1415577660	19660668	86231	1.940069
ERR1203383	PE	1	0	12	72	0	1415577660	1435238556	19660896	86232	1.775413
ERR1203383	PE	1	0	13	79	1	1553203248	1572864144	19660896	86232	2.140676
ERR1203383	PE	1	0	14	86	2	1690828836	1710489732	19660896	86232	2.043627
ERR1203383	PE	1	0	15	93	3	1828454424	1848115320	19660896	86232	1.638934
ERR1203383	PE	1	0	16	100	4	1966080012	1985740908	19660896	86232	2.000496
ERR1203383	PE	1	0	17	107	5	2103705600	2123366496	19660896	86232	1.651744
ERR1203383	PE	1	0	18	108	0	2123366496	2143027392	19660896	86232	1.762229
ERR1203383	PE	1	0	19	115	1	2260992084	2280652860	19660776	85846	2.216979
ERR1203383	PE	1	0	20	122	2	2398617668	2418278508	19660840	84745	2.158646
ERR1203383	PE	1	0	21	129	3	2536243316	2555904156	19660840	84745	1.495094
ERR1203383	PE	1	0	22	136	4	2673868964	2693529804	19660840	84745	1.855844
ERR1203383	PE	1	0	23	143	5	2811494612	2831155220	19660608	84744	1.825853
ERR1203383	PE	1	0	24	144	0	2831155220	2850816060	19660840	84745	1.718992
ERR1203383	PE	1	0	25	151	1	2968780868	2988441708	19660840	84745	1.876898
ERR1203383	PE	1	0	26	158	2	3106406516	3126067356	19660840	84745	2.03128
ERR1203383	PE	1	0	27	171	3	3199795332	3204710484	4915152	21186	0.607389
ERR1203383	PE	1	0	28	178	4	3234201628	3239117012	4915384	21187	0.571939
ERR1203383	PE	1	1	0	1	1	19660976	39321628	19660652	87957	2.489143
ERR1203383	PE	1	1	1	8	2	157286524	176947228	19660704	87771	2.237309
ERR1203383	PE	1	1	2	15	3	294912060	314572956	19660896	86232	1.756286
ERR1203383	PE	1	1	3	22	4	432537648	452198544	19660896	86232	1.901414
ERR1203383	PE	1	1	4	29	5	570163236	589824132	19660896	86232	1.834246
ERR1203383	PE	1	1	5	30	0	589824132	609484800	19660668	86231	2.069715
ERR1203383	PE	1	1	6	37	1	727449720	747110616	19660896	86232	1.952191
ERR1203383	PE	1	1	7	44	2	865075308	884736204	19660896	86232	2.144962
ERR1203383	PE	1	1	8	51	3	1002700896	1022361792	19660896	86232	2.040798
ERR1203383	PE	1	1	9	58	4	1140326484	1159987380	19660896	86232	1.705496
ERR1203383	PE	1	1	10	65	5	1277952072	1297612968	19660896	86232	2.130826
ERR1203383	PE	1	1	11	66	0	1297612968	1317273636	19660668	86231	2.445479
ERR1203383	PE	1	1	12	73	1	1435238556	1454899224	19660668	86231	2.111242
ERR1203383	PE	1	1	13	80	2	1572864144	1592524812	19660668	86231	2.010081
ERR1203383	PE	1	1	14	87	3	1710489732	1730150400	19660668	86231	2.174203
ERR1203383	PE	1	1	15	94	4	1848115320	1867776216	19660896	86232	1.631476
ERR1203383	PE	1	1	16	101	5	1985740908	2005401804	19660896	86232	1.893158
ERR1203383	PE	1	1	17	102	0	2005401804	2025062472	19660668	86231	1.637056
ERR1203383	PE	1	2	30	186	0	3273523308	3278438460	4915152	21186	0.53981
ERR1203383	PE	1	2	31	199	1	3337420980	3342336132	4915152	21186	0.706133
ERR1203383	PE	1	2	32	206	2	3371827276	3376742428	4915152	21186	0.539563
ERR1203383	PE	1	2	33	213	3	3406233804	3411148956	4915152	21186	0.879185
ERR1203383	PE	1	2	34	220	4	3440640100	3445555252	4915152	21186	0.494465
ERR1203383	PE	1	2	35	227	5	3467673668	3468902572	1228904	5297	2.003143
ERR1203383	PE	1	2	36	234	0	3476275300	3477504204	1228904	5297	0.2979
ERR1203383	PE	1	2	37	241	1	3484876932	3486105604	1228672	5296	2.018134
ERR1203383	PE	1	2	38	248	2	3493478564	3494707236	1228672	5296	3.090088
ERR1203383	PE	1	2	39	252	0	3498393716	3499281348	887632	3826	1.081343
ERR1203383	PE	1	2	19	116	2	2280652860	2300313700	19660840	84745	1.717684
ERR1203383	PE	1	2	20	123	3	2418278508	2437939348	19660840	84745	1.850574
ERR1203383	PE	1	2	21	130	4	2555904156	2575564996	19660840	84745	2.063489
ERR1203383	PE	1	2	22	137	5	2693529804	2713190412	19660608	84744	1.606341
ERR1203383	PE	1	2	23	138	0	2713190412	2732851252	19660840	84745	1.75657
ERR1203383	PE	1	2	24	145	1	2850816060	2870476900	19660840	84745	1.598173
ERR1203383	PE	1	2	25	152	2	2988441708	3008102548	19660840	84745	1.744082
ERR1203383	PE	1	2	26	159	3	3126067356	3145728196	19660840	84745	1.882877
ERR1203383	PE	1	2	27	166	4	3175219340	3180134492	4915152	21186	0.499231
ERR1203383	PE	1	2	28	173	5	3209625636	3214541020	4915384	21187	0.423257
ERR1203383	PE	1	2	29	174	0	3214541020	3219456172	4915152	21186	0.368104
ERR1203383	PE	1	2	30	181	1	3248947316	3253862468	4915152	21186	0.498856
ERR1203383	PE	1	2	31	188	2	3283353612	3288268996	4915384	21187	0.455774
ERR1203383	PE	1	2	32	195	3	3317760140	3322675292	4915152	21186	0.488075
ERR1203383	PE	1	2	33	202	4	3352166436	3357081820	4915384	21187	0.632063
ERR1203383	PE	1	2	34	209	5	3386572964	3391488116	4915152	21186	3.260623
ERR1203383	PE	1	2	35	228	0	3468902572	3470131244	1228672	5296	0.389644
ERR1203383	PE	1	2	36	229	1	3470131244	3471360148	1228904	5297	0.259298
ERR1203383	PE	1	2	37	236	2	3478732876	3479961780	1228904	5297	0.991393
ERR1203383	PE	1	2	38	243	3	3487334508	3488563412	1228904	5297	2.614101
ERR1203383	PE	1	2	39	244	4	3488563412	3489792084	1228672	5296	3.824031
ERR1203383	PE	1	2	0	2	2	39321628	58982556	19660928	87772	2.665246
ERR1203383	PE	1	2	1	9	3	176947228	196608156	19660928	87772	2.149678
ERR1203383	PE	1	2	2	16	4	314572956	334233624	19660668	86231	1.879109
ERR1203383	PE	1	2	3	23	5	452198544	471859212	19660668	86231	2.235916
ERR1203383	PE	1	2	4	24	0	471859212	491520108	19660896	86232	1.850827
ERR1203383	PE	1	2	5	31	1	609484800	629145696	19660896	86232	1.668103
ERR1203383	PE	1	2	6	38	2	747110616	766771284	19660668	86231	2.004848
ERR1203383	PE	1	2	7	45	3	884736204	904396872	19660668	86231	2.166036
ERR1203383	PE	1	2	8	52	4	1022361792	1042022460	19660668	86231	1.697506
ERR1203383	PE	1	2	9	59	5	1159987380	1179648048	19660668	86231	2.313559
ERR1203383	PE	1	2	10	60	0	1179648048	1199308944	19660896	86232	2.181073
ERR1203383	PE	1	2	11	67	1	1317273636	1336934532	19660896	86232	2.3314
ERR1203383	PE	1	2	12	74	2	1454899224	1474560120	19660896	86232	1.874275
ERR1203383	PE	1	2	13	81	3	1592524812	1612185708	19660896	86232	2.300328
ERR1203383	PE	1	2	14	88	4	1730150400	1749811296	19660896	86232	2.123416
ERR1203383	PE	1	2	15	95	5	1867776216	1887436884	19660668	86231	1.967395
ERR1203383	PE	1	2	16	96	0	1887436884	1907097780	19660896	86232	1.877578
ERR1203383	PE	1	2	17	103	1	2025062472	2044723368	19660896	86232	1.771375
ERR1203383	PE	1	2	18	110	2	2162688060	2182348956	19660896	86232	1.752309
ERR1203383	PE	1	2	19	117	3	2300313700	2319974540	19660840	84745	1.856112
ERR1203383	PE	1	2	20	124	4	2437939348	2457600188	19660840	84745	1.547558
ERR1203383	PE	1	2	21	131	5	2575564996	2595225604	19660608	84744	1.824741
