log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	26.489	65.139	62.344	22.664	48.471	40	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,171,178	1.035191	65.139107	5033678	1324632656	4e3041a3be8e7413	7e35163824bb803f	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	26.197	67.191	64.398	23.11	47.565	40	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102	0.983007	67.190781	5031196	1323955304	5e445e56862077ed	09982547f56198f5	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	25.954	68.276	65.196	19.85	55.022	43	186,199,206,213,220,227,234,241,248,252,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,228,229,236,243,244,2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,249	0.950113	68.276365	4999046	1318247731	49f4aac80bce650d	73cc470755993485	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	26.554	65.437	62.397	19.579	56.144	43	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,222,235,242,251	1.070516	65.437323	5030822	1319555501	9dbff8746409afba	de06d499e6086686	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	26.925	66.612	63.456	22.375	51.536	45	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,112,119,120,127,134,141,148,155,156,163,170,177,184,191,192,193,194,201,208,215,210,217,224,231,238,245,246	1.056322	66.612375	5272524	1384044537	b85edbc8916d79ef	bd599e4ee8db9bc7	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	5	25.909	67.023	64.201	22.867	49.504	42	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,113,114,121,128,135,142,149,150,157,164,165,172,179,180,187,200,207,214,221,216,223,230,237,250	0.934275	67.022644	5182094	1359435672	8e58e82d668a9c57	78d8012194e4dba1	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	0	30.285	65.404	62.544	24.462	45.893	41	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,171,178	1.064126	65.403589	5142552	1353432518	dc8895bfc1820ed3	c043ac53b609f7d1	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	1	29.196	69.589	66.803	25.029	45.228	45	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102	1.008572	69.588989	5182472	1366211657	4363147bd640eaa4	e2f48b2f25c0e90e	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	2	29.566	66.569	63.499	25.189	42.151	39	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,109,186,193,200,207,214,221,216,223,230,237,251,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,234,235,242,249,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,228,229,236,243,244	1.022414	66.568641	4858362	1279296997	25bda40b356d44c6	d05c51364f14131e	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	3	30.287	67.255	64.166	24.104	45.506	42	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,163,170,177,184,191,192,199,206,213,220,227,240,247,250	0.996554	67.255216	5020224	1316593963	e040a85ac8cb0c88	f0c7bd5c431f07f6	1
