dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	0	0	0	0	0	19660976	19660976	89570	2.194131
ERR1203383	PE	1	0	1	7	1	137625820	157286524	19660704	87771	1.863106
ERR1203383	PE	1	0	2	14	2	275251392	294912060	19660668	86231	1.786641
ERR1203383	PE	1	0	3	21	3	412876980	432537648	19660668	86231	2.086958
ERR1203383	PE	1	0	4	28	4	550502568	570163236	19660668	86231	1.730487
ERR1203383	PE	1	0	5	35	5	688128156	707788824	19660668	86231	1.768615
ERR1203383	PE	1	0	6	36	0	707788824	727449720	19660896	86232	1.85272
ERR1203383	PE	1	0	7	43	1	845414412	865075308	19660896	86232	2.078644
ERR1203383	PE	1	0	8	50	2	983040000	1002700896	19660896	86232	2.212734
ERR1203383	PE	1	0	9	57	3	1120665816	1140326484	19660668	86231	1.532277
ERR1203383	PE	1	0	10	64	4	1258291404	1277952072	19660668	86231	1.844145
ERR1203383	PE	1	0	11	71	5	1395916992	1415577660	19660668	86231	1.870278
ERR1203383	PE	1	0	12	72	0	1415577660	1435238556	19660896	86232	1.706984
ERR1203383	PE	1	0	13	79	1	1553203248	1572864144	19660896	86232	2.080444
ERR1203383	PE	1	0	14	86	2	1690828836	1710489732	19660896	86232	1.965902
ERR1203383	PE	1	0	15	93	3	1828454424	1848115320	19660896	86232	1.526924
ERR1203383	PE	1	0	16	100	4	1966080012	1985740908	19660896	86232	1.928493
ERR1203383	PE	1	0	17	107	5	2103705600	2123366496	19660896	86232	1.548315
ERR1203383	PE	1	0	18	108	0	2123366496	2143027392	19660896	86232	1.69494
ERR1203383	PE	1	0	19	115	1	2260992084	2280652860	19660776	85846	2.146364
ERR1203383	PE	1	0	20	122	2	2398617668	2418278508	19660840	84745	2.082479
ERR1203383	PE	1	0	21	129	3	2536243316	2555904156	19660840	84745	1.385009
ERR1203383	PE	1	0	22	136	4	2673868964	2693529804	19660840	84745	1.769752
ERR1203383	PE	1	0	23	143	5	2811494612	2831155220	19660608	84744	1.725908
ERR1203383	PE	1	0	24	144	0	2831155220	2850816060	19660840	84745	1.638386
ERR1203383	PE	1	0	25	151	1	2968780868	2988441708	19660840	84745	1.784717
ERR1203383	PE	1	0	26	158	2	3106406516	3126067356	19660840	84745	1.972236
ERR1203383	PE	1	0	27	177	3	3229286476	3234201628	4915152	21186	0.491155
ERR1203383	PE	1	0	28	184	4	3263693004	3268608156	4915152	21186	0.509409
ERR1203383	PE	1	0	29	191	5	3298099300	3303014452	4915152	21186	0.40685
