log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	31.467	63.061	60.339	25.958	42.502	45	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,177,184,191,192,199,206,213,220,227,222,229,230,237,238,245,258,265,270	1.213642	63.061455	5054866	1329687188	d088b70e4a48d4c6	ce527170b9a6d5d2	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	30.3	66.106	63.365	25.887	43.006	46	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,103,110,117,124,131,132,139,146,153,178,185,186,193,200,207,214,221,216,223,224,225,232,239,234,241,248,255,268	0.99706	66.105795	5097730	1343461375	ee073f5e715dbbee	58fa9c47e065a7d6	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	31.884	63.573	60.853	27.963	38.89	44	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,109,116,123,130,137,138,145,152,159,172,179,180,187,194,201,208,215,210,217,236,243,250,257,246,259,266,269	1.028218	63.57304	4974880	1310582212	cc6dc1c999eade1b	7248eca7a7722735	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	32.004	63.255	60.465	24.76	44.112	46	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,228,235,242,249,256,263,264	1.018022	63.255439	4999038	1311769953	cc469042f4846c24	83bdb9da1264dcde	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	29.45	66.903	64.106	24.407	47.533	48	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,112,119,120,127,134,141,148,155	1.06595	66.902911	5304302	1392286825	22a768836af2d97b	9a2cfe774e7f161f	1
ERR1203383_PE.run01.log	ERR1203383	PE	1	5	29.608	65.112	62.51	26.497	42.193	42	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,163,164,165,160,167,168,175,182,189,196,203,204,211,218,231,244,251,252,253,260,267,114,121,128,135,142,149,150,157,170,171,166,173,174,181,188,195,202,209,240,247,254,261,262	1.025877	65.112403	5118544	1342083848	60f5562ff776629f	e29779b3bcde955f	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	0	28.187	65.877	63.092	22.98	49.363	46	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,165,172,179,180	0.916533	65.8766	5195516	1367564023	87fdec8997f4dd2b	f76d93c410fe4449	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	1	28.039	66.471	63.913	25.148	43.71	40	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102	0.930077	66.470864	5031194	1323880804	0754acf23b73cd25	96505a0ee0817057	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	2	28.335	65.173	62.45	23.641	46.397	45	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,194,201,208,215,210,217,230,243,250,257,252,253,260,267,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,234,241,248,255,268,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,262	0.95583	65.17337	5020232	1323475376	7f3ce536e13de8e6	8b558483894fd31c	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	3	29.751	63.254	60.447	22.906	47.681	46	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,228,235,242,249,256,263,264	1.00398	63.253517	4999038	1311769953	cc469042f4846c24	83bdb9da1264dcde	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	4	29.664	62.867	60.07	23.488	47.77	47	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105	1.220743	62.867121	5131874	1346300594	a40c386df031c9dd	1bba8fd61dcf56e5	1
ERR1203383_PE.run02.log	ERR1203383	PE	2	5	29.378	64.466	61.749	24.907	45.357	47	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106	1.019561	64.465807	5171506	1356880651	5bfebfc913224dd6	6d8944cb68ef6796	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	0	29.761	65.459	62.641	25.693	43.604	46	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,171,178,185,186,193,200,207,214,221,216,229,230,243,250,257,252,253,260,267	1.014501	65.459467	5131964	1351582249	f39ef98a891fb4f1	8c3e98c0174408e3	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	1	29.066	66.44	63.831	23.989	45.823	40	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102	0.906059	66.439926	5031194	1323829629	d5a99ce4637d0dad	5432cd72cc7cca5f	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	2	29.341	65.179	62.488	23.488	46.699	45	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,240,241,248,255,268,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,234,247,254,261,262	1.034833	65.179042	5020232	1323526551	b0e7f544b934a85e	493713ffa5b26914	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	3	30.304	63.628	60.777	23.742	46.469	48	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,163,170,177,184,191,192,199,206,213,220,227,222,223,224,231,238,245,258,265,270	1.159854	63.628289	5049066	1324171037	51efc7928694dcf4	3a328884a8cb16ae	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	4	31.922	62.686	59.994	25.183	44.115	45	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105	1.070901	62.685784	5081846	1333828657	348dcb533f0135b9	475327e0cca9173d	1
ERR1203383_PE.run03.log	ERR1203383	PE	3	5	30.031	64.758	61.999	25.327	45.159	47	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106	1.082773	64.757973	5235058	1372933278	da32e89341179964	f3bcd6a7049ca094	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	0	31.174	61.363	58.763	25.157	44.347	41	0,7,14,21,22,29,30,37,44,51,58,65,66,73,80,87,94,101,96,109,116,123,130,137,138,145,152,159,172,179,180,211,218,225,232,239,240,247,254,261,268	1.066713	61.362615	4175046	1338918848	c1374398f530359b	39c7fc011ed96ed7	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	1	29.254	64.271	61.622	21.87	48.867	45	1,8,15,28,35,36,43,50,57,64,71,72,79,86,93,106,107,108,121,128,135,142,149,150,157,164,165,166,173,174,181,188,195,202,209,210,217,224,231,238,245,246,253,260,267	1.077584	64.270943	3992788	1281552997	5640b881370bd44a	07e91fe8391f59a0	1
SRR2496709_PE.run01.log	SRR2496709	PE	1	2	29.323	64.151	61.356	23.902	48.995	50	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,102,103	1.065955	64.151265	4377276	1407919932	89ba42e6963daa9f	e24c89d637a1b053	1
