log	dataset	read_mode	repeat	rank	stage1_seconds	stage2_seconds	cpe_part3_seconds	fread_seconds	fread_mib_per_second	claimed_chunks	chunk_ids	scheduler_rma_seconds	scheduler_stage2_seconds	hash_calls	hash_bytes	hash_sum	hash_xor	hash_enabled
ERR1203383_PE.run01.log	ERR1203383	PE	1	0	28.499	66.289				46	0,7,14,21,28,35,36,43,50,57,64,71,72,79,86,93,100,107,108,115,122,129,136,143,144,151,158,165,172,179,180,187,194,201,208,215,210,217,230,243,250,257,246,259,266,269	1.035679	66.288515	5195512	1367383170	0000000000000000	0000000000000000	0
ERR1203383_PE.run01.log	ERR1203383	PE	1	1	27.757	68.147	65.703	24.356	45.131	40	1,8,15,22,29,30,37,44,51,58,65,66,73,80,87,94,101,102,109,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,234,241,248,255,268	0.847613	68.14673	5031194	1323880804	0000000000000000	0000000000000000	0
ERR1203383_PE.run01.log	ERR1203383	PE	1	2	27.735	66.984	64.344	22.439	48.882	45	2,9,16,23,24,31,38,45,52,59,60,67,74,81,88,95,96,103,110,117,124,131,132,139,146,153,160,167,168,175,182,189,196,203,204,211,218,225,232,239,240,247,254,261,262	1.010208	66.984171	5020232	1323475376	0000000000000000	0000000000000000	0
ERR1203383_PE.run01.log	ERR1203383	PE	1	3	30.221	65.121	62.477	23.182	47.114	46	3,10,17,18,25,32,39,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,169,176,183,190,197,198,205,212,219,226,233,228,235,242,249,256,263,264	1.02423	65.12131	4999038	1311769953	0000000000000000	0000000000000000	0
ERR1203383_PE.run01.log	ERR1203383	PE	1	4	30.047	64.643	62.008	24.06	46.633	47	4,11,12,19,26,33,40,47,48,55,62,69,76,83,84,91,98,105,112,119,120,127,134,141,148,155,156,163,170,177,184,191,192,199,206,213	1.226167	64.643199	5131874	1346300594	0000000000000000	0000000000000000	0
ERR1203383_PE.run01.log	ERR1203383	PE	1	5	27.97	68.086	65.231	24.248	46.59	47	5,6,13,20,27,34,41,42,49,56,63,70,77,78,85,92,99,106,227,222,229,236,237,238,245,258,265,270,114,121,128,135,142,149,150,157,164,171,178,185,186,193,200,207,214,221,216,223,224,231,244,251,252,253,260,267	1.000117	68.086292	5171510	1357061504	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	0	34.307	62.4	59.499	29.698	41.906	51	0,7,14,21,22,29,30,37,44,51,58,65,66,73,80,87,88,101,102,103,110,117,124,131,132,139,146,153,160,167,168,175,176,177,184,191,192,187,194,201,208,215,216,217,230,237,244,251,246,253,272	1.141329	62.399729	4652966	1496675587	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	1	28.819	69.932	67.419	24.562	42.081	45	1,8,15,28,35,36,43,50,57,64,71,72,79,86,93,100,119,120,127,134,141,148,155,156,169,170,171,178,185,186,193,200,207,214,221,222,235,236,243,250,257,252,259,260,267	1.060383	69.931582	3862614	1238274525	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	2	31.801	66.231	63.635	24.38	44.991	45	2,9,16,23,24,31,38,45,52,59,60,67,74,81,94,95,96,109,116,123,130,137,138,145,152,159,166,173,174,181,188,195,202,209,210,211,218,225,232,239,240,247,254,261,268	1.101842	66.230819	4099406	1320154154	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	3	34.807	63.861	61.326	31.347	36.834	43	3,10,17,18,25,32,39,40,47,48,55,62,69,76,83,84,91,98	0.902282	63.861178	4318682	1387208516	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	4	31.903	65.858	63.243	26.66	42.989	45	4,11,12,19,26,33,34,41,42,49,56,63,70,77,78,85,92,99,112,113,114,115,122,129,136,143,144,157,164,165,172,179,180,229,224,231,238,245,258,265,266,273,107,108,121,128,135,142,149,150,151,182,189,196,203,204,205,212,219,226,233,234,241,248,249,262,269,270	1.078334	65.858119	4285528	1375806498	0000000000000000	0000000000000000	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	5	30.897	67.41	64.94	26.366	40.535	45	5,6,13,20,27,46,53,54,61,68,75,82,89,90,97,104,111,118,125,126,133,140,147,154,161,162,163,158,183,190,197,198,199,206,213,220,227,228,223,242,255,256,263,264,271	0.964042	67.410408	3995626	1301480920	0000000000000000	0000000000000000	0
