configuration	io_mode	dataset	read_mode	rank_count	log	pipeline_total_min	pipeline_total_median	pipeline_total_max	pipeline_total_mean	pipeline_total_max_over_median	stage1_min	stage1_median	stage1_max	stage1_mean	stage1_max_over_median	stage2_min	stage2_median	stage2_max	stage2_mean	stage2_max_over_median	stage3_min	stage3_median	stage3_max	stage3_mean	stage3_max_over_median	sam_output_writes_min	sam_output_writes_median	sam_output_writes_max	sam_output_writes_mean	sam_output_writes_max_over_median	fread_time_min	fread_time_median	fread_time_max	fread_time_mean	fread_time_max_over_median	fread_bandwidth_min	fread_bandwidth_median	fread_bandwidth_max	fread_bandwidth_mean	fread_bandwidth_max_over_median	slowest_fread_min	slowest_fread_median	slowest_fread_max	slowest_fread_mean	slowest_fread_max_over_median	worker_total_min	worker_total_median	worker_total_max	worker_total_mean	worker_total_max_over_median	worker_part1_min	worker_part1_median	worker_part1_max	worker_part1_mean	worker_part1_max_over_median	worker_part2_min	worker_part2_median	worker_part2_max	worker_part2_mean	worker_part2_max_over_median	worker_part3_min	worker_part3_median	worker_part3_max	worker_part3_mean	worker_part3_max_over_median	worker_part4_min	worker_part4_median	worker_part4_max	worker_part4_mean	worker_part4_max_over_median	worker_part5_min	worker_part5_median	worker_part5_max	worker_part5_mean	worker_part5_max_over_median	worker_part6_min	worker_part6_median	worker_part6_max	worker_part6_mean	worker_part6_max_over_median	output_flush_time_min	output_flush_time_median	output_flush_time_max	output_flush_time_mean	output_flush_time_max_over_median	output_bandwidth_min	output_bandwidth_median	output_bandwidth_max	output_bandwidth_mean	output_bandwidth_max_over_median	raw_fastq_bytes_sum	claimed_chunks_sum	completed_records_sum	claimed_input_bytes_sum	slowest_chunk	slowest_chunk_stage2	skew_flags	bottleneck_flags	flags
mpi_dynamic_split	no1	ERR1203383	PE	6	mpi_dynamic_split/no1/ERR1203383_PE.run.log	148.551	148.554	148.557	148.55433333333335	1.0000201946766831	72.58	76.51499999999999	78.357	75.76233333333333	1.0240737110370517	58.391	65.4635	77.971	66.46766666666666	1.1910606673948079	117.364	121.495	122.347	120.88766666666668	1.0070126342647845	115.331	119.29650000000001	120.245	118.65033333333334	1.0079507781032973	56.447	58.411500000000004	62.342	58.72216666666667	1.0672898316256216	17.444	19.141	19.764	18.965333333333334	1.0325479337547674	1.485	1.5785	1.871	1.6345	1.1853025023756731	58.386	65.454	77.968	66.4605	1.1911877043419807	1.24	1.2865	1.492	1.311	1.1597357170617957	0.526	0.5575000000000001	0.601	0.5623333333333334	1.0780269058295961	55.609	62.6305	75.068	63.57583333333333	1.1985853537813047	0.373	0.395	0.441	0.39916666666666667	1.1164556962025316	0.546	0.5945	0.697	0.6041666666666666	1.1724137931034482	0.001	0.001	0.001	0.001	1.0	111.337255	114.6368255	115.886073	114.26607666666666	1.0108974362692902	11.051	11.189	11.245	11.17	1.0050049155420502	6998562696	232	15274680	3499281348	229	12.191357		low input BW 19.1 MiB/s; low output BW 11.2 MiB/s	low input BW 19.1 MiB/s; low output BW 11.2 MiB/s
mpi_dynamic_single	no1	ERR1203383	PE	6	mpi_dynamic_single/no1/ERR1203383_PE.run.log	176.259	176.264	176.267	176.26316666666665	1.0000170199246583	31.878	34.0835	36.54	34.21666666666667	1.0720729971980576	58.632	67.0135	73.411	66.3665	1.0954658389727445	153.291	156.437	157.054	155.5955	1.0039440797253847	151.251	154.1455	155.006	153.45033333333333	1.0055823880684158	27.39	28.305999999999997	28.868	28.287833333333335	1.0198544478202503	37.882	39.3135	40.707	39.33283333333333	1.0354458392155368	1.272	1.3005	1.352	1.3013333333333332	1.039600153787005	58.624	67.005	73.403	66.35783333333333	1.0954854115364527	1.19	1.3335	1.371	1.309	1.0281214848143982	0.544	0.582	0.617	0.5815	1.0601374570446735	55.781	64.16900000000001	70.45	63.498333333333335	1.0978821549346256	0.355	0.3775	0.41	0.37799999999999995	1.086092715231788	0.532	0.577	0.653	0.5808333333333333	1.1317157712305028	0.001	0.001	0.002	0.0011666666666666668	2.0	146.56531	149.5535445	151.290109	149.42328616666666	1.0116116572549707	8.226	8.5445	8.797	8.548166666666667	1.0295511732693547	6998562696	232	15274680	3499281348	229	12.210298		low output BW 8.5 MiB/s	low output BW 8.5 MiB/s
mpi_dynamic_split	no1	ERR1203383	SE	6	mpi_dynamic_split/no1/ERR1203383_SE.run.log	67.316	67.321	67.323	67.32016666666667	1.0000297084119367	40.163	41.491	42.268	41.24433333333334	1.0187269528331446	24.946	26.3565	27.975	26.36283333333333	1.0614080018211827	55.02	55.3955	57.287	55.64216666666667	1.034145372819092	53.916	54.224999999999994	56.199	54.50716666666667	1.0364038727524205	29.734	30.3685	31.986	30.581500000000002	1.0532624265274872	17.586	18.344	18.656	18.197166666666664	1.017008286088094	1.411	1.4344999999999999	1.495	1.4426666666666668	1.0421749738584873	24.942	26.354	27.97	26.359166666666667	1.0613189648630188	1.142	1.2145000000000001	1.369	1.2278333333333333	1.1272128447920955	0.318	0.36	0.363	0.3506666666666667	1.0083333333333333	22.615	24.162	25.814	24.122666666666664	1.0683718235245427	0.174	0.178	0.214	0.18366666666666664	1.202247191011236	0.434	0.4755	0.49	0.46950000000000003	1.0304942166140905	0.001	0.001	0.001	0.001	1.0	52.711132	52.9505955	53.681728	53.1418715	1.01380782393656	10.667	10.7445	10.783	10.738333333333335	1.0035832286286006	3499281348	232	15274680	3499281348	229	2.189972		low input BW 18.3 MiB/s; low output BW 10.7 MiB/s	low input BW 18.3 MiB/s; low output BW 10.7 MiB/s
mpi_dynamic_single	no1	ERR1203383	SE	6	mpi_dynamic_single/no1/ERR1203383_SE.run.log	83.099	83.10249999999999	83.107	83.10316666666667	1.0000541499954876	17.078	18.9295	20.539	19.095333333333333	1.0850260175915898	23.872	26.878	29.988	26.546833333333336	1.115708013989136	69.858	71.16749999999999	72.299	71.18266666666666	1.015899111251625	68.859	70.07300000000001	71.23	70.053	1.016511352446734	13.97	14.886	15.944	14.83	1.0710734918715572	35.69	37.425	40.047	37.54266666666667	1.070060120240481	1.161	1.436	1.466	1.3545	1.020891364902507	23.87	26.866999999999997	29.984	26.539833333333334	1.1160159303234454	1.191	1.244	1.456	1.2998333333333334	1.1704180064308682	0.314	0.3705	0.621	0.4026666666666667	1.6761133603238867	21.696	24.377000000000002	27.431	24.17866666666667	1.1252820281412805	0.169	0.1775	0.217	0.18333333333333335	1.2225352112676058	0.429	0.45899999999999996	0.531	0.4693333333333333	1.1568627450980393	0.001	0.001	0.001	0.001	1.0	70.102635	70.50121899999999	71.661505	70.64277416666667	1.0164576728808052	7.571	7.967	8.53	8.0154	1.0706664993096522	3499281348	232	15274680	3499281348	229	2.181144		low output BW 8.0 MiB/s	low output BW 8.0 MiB/s
mpi_dynamic_split	no1	small_SRR7963242	PE	6	mpi_dynamic_split/no1/small_SRR7963242_PE.run.log	293.159	293.16200000000003	293.164	293.16183333333333	1.0000068221665834	56.656	62.069	69.12	62.63783333333333	1.113599381333677	286.326	287.63250000000005	289.204	287.87850000000003	1.0054635689638687	85.9	118.02250000000001	122.029	112.42066666666666	1.0339469169014381	83.564	115.9065	120.025	110.24916666666667	1.0355329511287117	44.635	50.054	59.346	51.61166666666667	1.1856395093299235	20.536	24.058	27.305	23.597166666666666	1.1349655000415662	1.392	1.5510000000000002	1.653	1.5388333333333335	1.0657640232108316	286.317	287.62149999999997	289.196	287.8668333333333	1.005474208291105	1.379	1.535	1.682	1.5353333333333332	1.0957654723127035	0.59	0.6485000000000001	0.752	0.6548333333333334	1.159599074787972	283.501	284.428	286.203	284.781	1.0062405951594076	0.227	0.2485	0.266	0.24766666666666667	1.0704225352112677	0.531	0.6375	0.706	0.633	1.1074509803921568	0.001	0.001	0.002	0.0011666666666666668	2.0	79.945486	113.394605	116.467064	106.95974416666667	1.027095283765925	11.624	11.893	16.155	12.726833333333333	1.3583620617169765	7591111176	254	10000000	3795555588	0	10.940634		low output BW 11.9 MiB/s	low output BW 11.9 MiB/s
mpi_dynamic_single	no1	small_SRR7963242	PE	6	mpi_dynamic_single/no1/small_SRR7963242_PE.run.log	277.413	277.4135	277.42	277.415	1.0000234307270555	48.746	55.813500000000005	65.007	56.785333333333334	1.1647182133354834	270.687	271.369	272.298	271.39050000000003	1.0034233829214094	103.109	137.1995	190.102	145.25866666666667	1.385588139898469	101.029	134.6685	188.097	143.052	1.3967408859532855	37.835	44.576499999999996	51.61	45.34283333333334	1.1577849315222146	23.439	27.2105	30.973	26.926833333333335	1.1382738281178222	1.289	1.3025	1.493	1.3365	1.146257197696737	270.675	271.3555	272.295	271.3788333333333	1.003462247863043	1.318	1.4180000000000001	1.94	1.4858333333333336	1.3681241184767277	0.603	0.632	0.663	0.6343333333333333	1.0490506329113924	267.688	268.2085	269.474	268.39466666666664	1.0047183441240675	0.228	0.2425	0.268	0.244	1.1051546391752578	0.539	0.618	0.662	0.6065	1.0711974110032363	0.001	0.001	0.002	0.0011666666666666668	2.0	98.515543	132.817917	184.844535	140.46521900000002	1.3917138528832673	7.762	9.285	10.65	9.232333333333333	1.1470113085621971	7591111176	254	10000000	3795555588	0	11.250725		low output BW 9.3 MiB/s	low output BW 9.3 MiB/s
mpi_dynamic_split	no1	small_SRR7963242	SE	6	mpi_dynamic_split/no1/small_SRR7963242_SE.run.log	75.678	75.682	75.686	75.68216666666667	1.0000528527258794	39.313	42.911500000000004	47.48	43.0665	1.1064633023781503	52.861	53.468	54.484	53.53766666666667	1.0190020198997531	60.786	61.5865	62.005	61.521833333333326	1.0067953204030105	59.953	60.739999999999995	61.0	60.665166666666664	1.0042805400065855	31.56	32.7095	36.82	33.39783333333333	1.125666855194974	16.296	18.487499999999997	19.16	18.11583333333333	1.036375929682218	1.408	1.4725000000000001	1.732	1.5151666666666666	1.1762308998302207	52.853	53.4625	54.48	53.53183333333334	1.0190320317979893	1.213	1.2775	1.39	1.2935	1.0880626223091976	0.348	0.423	0.482	0.415	1.1394799054373523	50.31	51.153	51.979	51.126	1.0161476355247983	0.117	0.118	0.146	0.12283333333333334	1.2372881355932204	0.543	0.5700000000000001	0.582	0.5673333333333334	1.0210526315789472	0.001	0.001	0.001	0.001	1.0	60.578081	61.4620265	61.643935	61.28863666666666	1.0029596892643948	10.13	10.160499999999999	10.23	10.167666666666667	1.0068402145563704	3795555588	254	10000000	3795555588	0	2.980286		low input BW 18.5 MiB/s; low output BW 10.2 MiB/s	low input BW 18.5 MiB/s; low output BW 10.2 MiB/s
mpi_dynamic_single	no1	small_SRR7963242	SE	6	mpi_dynamic_single/no1/small_SRR7963242_SE.run.log	92.098	92.102	92.107	92.10266666666666	1.000054287637619	16.047	17.4735	18.904	17.4385	1.0818668269093197	51.88	53.2765	56.203	53.51716666666667	1.054930410218389	74.817	76.233	79.183	76.64	1.0386971521519552	73.96	75.40299999999999	78.381	75.8325	1.0394944498229515	12.369	13.620999999999999	14.792	13.677999999999999	1.0859701930842083	40.879	43.822	50.782	44.272999999999996	1.158824334809	0.916	0.9390000000000001	1.092	0.9641666666666667	1.1629392971246006	51.87	53.268	56.191	53.508	1.054873470000751	1.188	1.3065	1.483	1.3368333333333335	1.1350937619594337	0.328	0.4455	0.522	0.4343333333333333	1.1717171717171717	49.475	50.82	53.495	51.0255	1.0526367571822117	0.117	0.122	0.147	0.12616666666666668	1.2049180327868851	0.532	0.5694999999999999	0.633	0.576	1.1115013169446886	0.001	0.001	0.002	0.0011666666666666668	2.0	74.246088	76.690934	79.770543	76.93501133333334	1.0401561024149217	7.592	8.1065	8.598	8.1165	1.060630358354407	3795555588	254	10000000	3795555588	0	2.990288		low output BW 8.1 MiB/s	low output BW 8.1 MiB/s
mpi_dynamic_split	no1	SRR2496709	PE	6	mpi_dynamic_split/no1/SRR2496709_PE.run.log	139.905	139.9075	139.914	139.908	1.0000464592677303	74.179	82.3425	92.039	83.35266666666666	1.1177581443361568	59.781	65.0515	79.871	66.99733333333333	1.227811810642337	129.382	131.204	131.613	130.89166666666668	1.0031172830096642	127.301	128.958	129.615	128.78133333333332	1.005094681989485	60.556	62.8885	71.157	64.42283333333333	1.1314787282253511	15.81	17.89	18.487	17.501833333333334	1.0333705980994967	1.762	2.8595	3.171	2.6678333333333337	1.1089351285189717	59.769	65.041	79.863	66.9885	1.22788702510724	1.17	1.301	1.308	1.2806666666666666	1.005380476556495	0.522	0.5734999999999999	0.61	0.5686666666666667	1.0636442894507412	56.95	62.245000000000005	77.185	64.19583333333334	1.2400192786569202	0.302	0.311	0.369	0.3195	1.1864951768488745	0.566	0.6185	0.638	0.6135	1.0315278900565885	0.001	0.001	0.002	0.0011666666666666668	2.0	123.236419	125.0619305	126.31525	124.90907333333332	1.0100215908629366	10.264	10.3185	10.463	10.3325	1.0140039734457527	7072120624	237	12607411	3536060312	100	9.590582		low input BW 17.9 MiB/s; low output BW 10.3 MiB/s	low input BW 17.9 MiB/s; low output BW 10.3 MiB/s
mpi_dynamic_single	no1	SRR2496709	PE	6	mpi_dynamic_single/no1/SRR2496709_PE.run.log	176.388	176.3905	176.396	176.39083333333335	1.000031180817561	34.341	36.6	38.475	36.370333333333335	1.0512295081967213	59.241	64.17	80.227	66.36383333333333	1.2502259622876735	162.712	164.942	166.535	165.03566666666666	1.0096579403669168	160.777	162.794	164.589	162.99616666666665	1.0110262048969862	27.631	29.758499999999998	31.336	29.723	1.0530100643513618	35.901	37.674	40.376	37.88616666666667	1.0717205499814195	1.287	1.3765	1.482	1.3893333333333333	1.076643661460225	59.225	64.161	80.219	66.35433333333333	1.2502766478078582	1.271	1.3125	1.468	1.3318333333333332	1.1184761904761904	0.527	0.578	0.614	0.5768333333333333	1.0622837370242215	56.404	61.356	77.376	63.50566666666666	1.2610991590064542	0.295	0.3025	0.367	0.31366666666666665	1.2132231404958678	0.574	0.6165	0.64	0.6148333333333333	1.038118410381184	0.001	0.001	0.001	0.001	1.0	160.55862	161.58156400000001	162.56148	161.54996016666666	1.0060645285002934	7.916	7.967499999999999	8.178	7.9944999999999995	1.026419830561657	7072120624	237	12607411	3536060312	100	9.520299		low output BW 8.0 MiB/s	low output BW 8.0 MiB/s
