configuration	io_mode	dataset	read_mode	rank	world_size	pipeline_total	stage1	stage2	stage3	sam_output_writes	fread_time	fread_bandwidth	slowest_fread	raw_fastq_bytes	worker_total	worker_part1	worker_part2	worker_part3	worker_part4	worker_part5	worker_part6	output_flush_time	output_bandwidth	output_rma_flush_time	claimed_chunks	completed_records	claimed_input_bytes	slowest_chunk	slowest_chunk_stage2	log
mpi_dynamic_single	no1	ERR1203383	PE	0	6	176.266	35.128	66.306	153.606	151.367	28.868	38.971	1.274	1179647824	66.298	1.312	0.572	63.435	0.38	0.59	0.001	146.56531	8.797	0.000446	39	2576957	589823912	228	7.751335	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	PE	1	6	176.262	34.025	70.363	156.237	153.77	28.369	39.656	1.296	1179647408	70.354	1.355	0.544	67.382	0.41	0.653	0.001	148.960958	8.667	0.102536	39	2574959	589823704	229	12.210298	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	PE	2	6	176.259	31.878	67.721	156.748	154.787	27.39	40.707	1.305	1169136632	67.712	1.266	0.59	64.903	0.377	0.566	0.001	150.730983	8.51	0.128981	38	2551019	584568316	231	10.051089	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	PE	3	6	176.266	36.54	61.766	156.637	154.521	28.644	38.948	1.272	1169818248	61.756	1.19	0.592	59.039	0.368	0.556	0.002	150.146131	8.537	0.13618	38	2552488	584909124	75	3.401152	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	PE	4	6	176.259	34.142	73.411	157.054	155.006	28.243	39.833	1.309	1179649016	73.403	1.36	0.617	70.45	0.378	0.588	0.001	151.290109	8.552	0.134506	42	2573675	589824508	230	12.121187	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	PE	5	6	176.267	33.587	58.632	153.291	151.251	28.213	37.882	1.352	1120663568	58.624	1.371	0.574	55.781	0.355	0.532	0.001	148.846226	8.226	0.128869	36	2445582	560331784	209	3.251178	mpi_dynamic_single/no1/ERR1203383_PE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	0	6	83.099	20.539	29.988	70.725	69.539	15.944	36.75	1.164	614399904	29.984	1.456	0.372	27.431	0.189	0.531	0.001	70.424863	8.53	0.000234	44	2682888	614399904	229	2.181144	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	1	6	83.103	19.004	26.494	69.858	68.859	14.931	36.418	1.451	570163096	26.488	1.256	0.314	24.295	0.174	0.442	0.001	70.102635	7.967	0.076477	35	2490215	570163096	230	1.960562	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	2	6	83.101	17.078	23.872	70.595	69.647	13.97	38.251	1.466	560333364	23.87	1.223	0.35	21.696	0.17	0.429	0.001	70.353303	7.811	0.06313	33	2446558	560333364	2	1.410242	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	3	6	83.102	18.855	27.419	72.299	71.23	14.038	40.047	1.161	589483236	27.413	1.191	0.39	25.17	0.181	0.476	0.001	70.577575	8.198	0.121113	39	2572204	589483236	231	1.699082	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	4	6	83.107	20.292	27.262	72.009	70.544	15.256	38.1	1.421	609485116	27.246	1.441	0.621	24.459	0.217	0.499	0.001	70.736764		0.089887	46	2658419	609485116	4	1.357956	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	ERR1203383	SE	5	6	83.107	18.804	24.246	71.61	70.499	14.841	35.69	1.464	555416632	24.238	1.232	0.369	22.021	0.169	0.439	0.001	71.661505	7.571	0.062771	35	2424396	555416632	5	1.46035	mpi_dynamic_single/no1/ERR1203383_SE.run.log
mpi_dynamic_single	no1	SRR2496709	PE	0	6	176.396	37.103	69.647	164.689	162.557	31.336	35.901	1.287	1179647840	69.641	1.354	0.573	66.779	0.316	0.609	0.001	162.370747	7.957	0.000646	39	2104844	589823920	108	5.160263	mpi_dynamic_single/no1/SRR2496709_PE.run.log
mpi_dynamic_single	no1	SRR2496709	PE	1	6	176.388	34.341	60.728	166.394	164.466	27.631	40.376	1.386	1169820072	60.719	1.468	0.564	57.763	0.299	0.613	0.001	162.186531	7.924	0.134599	38	2086730	584910036	49	3.331389	mpi_dynamic_single/no1/SRR2496709_PE.run.log
mpi_dynamic_single	no1	SRR2496709	PE	2	6	176.389	38.475	59.241	165.005	162.598	30.448	36.948	1.35	1179648304	59.225	1.336	0.527	56.404	0.367	0.574	0.001	160.55862	8.014	0.142384	39	2102632	589824152	152	3.490215	mpi_dynamic_single/no1/SRR2496709_PE.run.log
mpi_dynamic_single	no1	SRR2496709	PE	3	6	176.392	36.142	80.227	162.712	160.777	29.069	39.346	1.464	1199308336	80.219	1.273	0.614	77.376	0.305	0.64	0.001	160.645786	8.178	0.129737	41	2137229	599654168	15	8.610927	mpi_dynamic_single/no1/SRR2496709_PE.run.log
