configuration	dataset	read_mode	pipeline_before_s	pipeline_tail10_s	pipeline_delta_pct	stage2_median_before_s	stage2_median_tail10_s	stage2_median_delta_pct	stage2_max_before_s	stage2_max_tail10_s	stage2_max_delta_pct	stage2_max_over_median_before	stage2_max_over_median_tail10
mpi_dynamic_split	ERR1203383	PE	161.622	148.554	-8.1	59.586	65.463	9.9	99.220	77.971	-21.4	1.665	1.191
mpi_dynamic_single	ERR1203383	PE	188.172	176.264	-6.3	59.269	67.013	13.1	99.087	73.411	-25.9	1.672	1.095
mpi_dynamic_split	ERR1203383	SE	67.400	67.321	-0.1	25.239	26.357	4.4	31.161	27.975	-10.2	1.235	1.061
mpi_dynamic_single	ERR1203383	SE	84.026	83.102	-1.1	25.242	26.878	6.5	31.325	29.988	-4.3	1.241	1.116
mpi_dynamic_split	small_SRR7963242	PE	290.971	293.162	0.8	284.442	287.633	1.1	287.373	289.204	0.6	1.010	1.005
mpi_dynamic_single	small_SRR7963242	PE	276.524	277.413	0.3	270.168	271.369	0.4	273.226	272.298	-0.3	1.011	1.003
mpi_dynamic_split	small_SRR7963242	SE	73.412	75.682	3.1	52.035	53.468	2.8	53.149	54.484	2.5	1.021	1.019
mpi_dynamic_single	small_SRR7963242	SE	92.659	92.102	-0.6	52.163	53.276	2.1	53.668	56.203	4.7	1.029	1.055
mpi_dynamic_split	SRR2496709	PE	137.748	139.907	1.6	63.397	65.052	2.6	84.012	79.871	-4.9	1.325	1.228
mpi_dynamic_single	SRR2496709	PE	175.024	176.391	0.8	62.558	64.170	2.6	82.643	80.227	-2.9	1.321	1.250
mpi_dynamic_split	SRR2496709	SE	65.552	64.911	-1.0	25.901	26.566	2.6	28.359	28.485	0.4	1.095	1.072
mpi_dynamic_single	SRR2496709	SE	82.731	82.712	-0.0	26.056	27.109	4.0	28.272	29.534	4.5	1.085	1.089
