cfg	dataset	mode	old_np_s2	new_np_s2	d_s2_pct	old_np_total	new_np_total	d_total_pct	old_np_s1	new_np_s1	old_np_s3	new_np_s3	old_np_bw	new_np_bw
cross	ERR1203383	PE	71.14	61.41	-13.7	294.45	260.11	-11.7	77.14	53.04	145.57	145.05	86.6	125.9
cross	ERR1203383	SE	29.43	27.36	-7.1	134.99	124.84	-7.5	35.21	27.26	69.89	69.77	94.9	122.5
cross	SRR2496709	PE	70.18	59.68	-15.0	292.00	250.83	-14.1	79.29	51.91	141.59	138.39	85.1	130.0
cross	SRR2496709	SE	29.05	26.60	-8.4	139.95	118.88	-15.1	43.98	25.76	66.02	65.63	76.7	131.0
cross	small_SRR7963242	PE	221.53	173.01	-21.9	442.76	365.60	-17.4	82.42	55.81	138.19	136.19	87.9	129.8
cross	small_SRR7963242	SE	55.72	49.91	-10.4	171.98	145.95	-15.1	47.88	27.97	67.96	67.69	75.6	129.5
single	ERR1203383	PE	351.26	303.29	-13.7	549.79	491.25	-10.6	63.14	52.69	134.85	134.72	105.7	126.7
single	ERR1203383	SE	129.47	117.04	-9.6	229.27	207.51	-9.5	34.45	25.59	64.94	64.47	97.0	130.5
single	SRR2496709	PE	348.66	300.12	-13.9	547.06	495.79	-9.4	65.74	61.37	131.78	133.47	102.6	109.9
single	SRR2496709	SE	130.87	119.14	-9.0	224.60	204.28	-9.0	31.61	22.98	61.31	61.40	106.7	146.9
single	small_SRR7963242	PE	1274.95	968.14	-24.1	1471.91	1158.95	-21.3	66.15	60.43	130.24	129.79	109.5	119.8
single	small_SRR7963242	SE	277.85	261.88	-5.7	377.45	351.76	-6.8	36.37	27.25	62.89	62.29	99.6	132.9
