cfg	dataset	mode	variant	kernel	cycle_avg
cross	ERR1203383	PE	new_p	WORKER_ALIGNMENT	125000000000
cross	ERR1203383	PE	new_p	MEM_CHAIN	59000000000
cross	ERR1203383	PE	new_p	CHAIN_FILTER	4838000000
cross	ERR1203383	PE	new_p	CHAIN_EXTENSION	14000000000
cross	ERR1203383	PE	new_p	ALIGNMENT_FINALIZE	2399000000
cross	ERR1203383	PE	new_p	MATE_RESCUE	32000000000
cross	ERR1203383	PE	new_p	PAIRING	1333000000
cross	ERR1203383	PE	new_p	SAM_FORMAT	43000000000
cross	ERR1203383	PE	new_p	SAM_COPY	1507000000
cross	ERR1203383	PE	new_p	MEM_CHAIN_COLLECT	34000000000
cross	ERR1203383	PE	new_p	MEM_CHAIN_BUILD	23000000000
cross	ERR1203383	PE	new_p	CHAIN_EXTENSION_DP	6062000000
cross	ERR1203383	PE	new_p	MATE_REF_FETCH	522000000
cross	ERR1203383	PE	new_p	MATE_KSW_ALIGN	20000000000
cross	ERR1203383	PE	new_p	KSW_QUERY_INIT_FORWARD	763000000
cross	ERR1203383	PE	new_p	KSW_DP_FORWARD	16000000000
cross	ERR1203383	PE	new_p	KSW_QUERY_INIT_REVERSE	389000000
cross	ERR1203383	PE	new_p	KSW_DP_REVERSE	2155000000
cross	ERR1203383	PE	new_p	MATE_DEDUP	8896000000
cross	ERR1203383	PE	new_p	DEDUP_SORT_END	3129000000
cross	ERR1203383	PE	new_p	DEDUP_REDUNDANCY	667000000
cross	ERR1203383	PE	new_p	DEDUP_SORT_SCORE	4925000000
cross	ERR1203383	PE	new_p	MEM_COLLECT_FIRST	12000000000
cross	ERR1203383	PE	new_p	MEM_COLLECT_SPLIT	11000000000
cross	ERR1203383	PE	new_p	MEM_COLLECT_LAST	8511000000
cross	ERR1203383	PE	new_p	MEM_COLLECT_SORT	2902000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_REPETITIVE	63000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_SA	16000000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_RID	1426000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_TREE_SEARCH	339000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_MERGE	141000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_INSERT	1483000000
cross	ERR1203383	PE	new_p	CHAIN_BUILD_FINALIZE	3157000000
cross	ERR1203383	PE	old_p	WORKER_ALIGNMENT	143000000000
