cfg	dataset	mode	kernel	old_cyc	new_cyc	d_pct	share_of_new_total_pct
cross	ERR1203383	PE	WORKER_ALIGNMENT	1.430e+11	1.250e+11	-12.6	98.8
cross	ERR1203383	PE	MEM_CHAIN	6.600e+10	5.900e+10	-10.6	46.6
cross	ERR1203383	PE	CHAIN_FILTER	4.646e+09	4.838e+09	+4.1	3.8
cross	ERR1203383	PE	CHAIN_EXTENSION	1.700e+10	1.400e+10	-17.6	11.1
cross	ERR1203383	PE	ALIGNMENT_FINALIZE	1.931e+09	2.399e+09	+24.2	1.9
cross	ERR1203383	PE	MATE_RESCUE	4.000e+10	3.200e+10	-20.0	25.3
cross	ERR1203383	PE	PAIRING	1.897e+09	1.333e+09	-29.7	1.1
cross	ERR1203383	PE	SAM_FORMAT	5.300e+10	4.300e+10	-18.9	34.0
cross	ERR1203383	PE	SAM_COPY	9.480e+08	1.507e+09	+59.0	1.2
cross	ERR1203383	SE	WORKER_ALIGNMENT	5.900e+10	5.200e+10	-11.9	97.7
cross	ERR1203383	SE	MEM_CHAIN	3.800e+10	3.400e+10	-10.5	63.9
cross	ERR1203383	SE	CHAIN_FILTER	2.442e+09	2.384e+09	-2.4	4.5
cross	ERR1203383	SE	CHAIN_EXTENSION	9.743e+09	7.538e+09	-22.6	14.2
cross	ERR1203383	SE	ALIGNMENT_FINALIZE	9.980e+08	1.290e+09	+29.3	2.4
cross	ERR1203383	SE	MATE_RESCUE	0.000e+00	0.000e+00	+nan	0.0
cross	ERR1203383	SE	PAIRING	0.000e+00	0.000e+00	+nan	0.0
cross	ERR1203383	SE	SAM_FORMAT	6.905e+09	5.863e+09	-15.1	11.0
cross	ERR1203383	SE	SAM_COPY	5.330e+08	1.212e+09	+127.4	2.3
cross	SRR2496709	PE	WORKER_ALIGNMENT	1.390e+11	1.220e+11	-12.2	98.9
cross	SRR2496709	PE	MEM_CHAIN	6.800e+10	6.200e+10	-8.8	50.3
cross	SRR2496709	PE	CHAIN_FILTER	3.555e+09	3.649e+09	+2.6	3.0
