cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
cross	ERR1203383	PE	WORKER_ALIGNMENT	1.250e+11	98.8
cross	ERR1203383	PE	MEM_CHAIN	5.900e+10	46.6
cross	ERR1203383	PE	CHAIN_FILTER	4.838e+09	3.8
cross	ERR1203383	PE	CHAIN_EXTENSION	1.400e+10	11.1
cross	ERR1203383	PE	ALIGNMENT_FINALIZE	2.399e+09	1.9
cross	ERR1203383	PE	MATE_RESCUE	3.200e+10	25.3
cross	ERR1203383	PE	PAIRING	1.333e+09	1.1
cross	ERR1203383	PE	SAM_FORMAT	4.300e+10	34.0
cross	ERR1203383	PE	SAM_COPY	1.507e+09	1.2
cross	ERR1203383	PE	MEM_CHAIN_COLLECT	3.400e+10	26.9
cross	ERR1203383	PE	MEM_CHAIN_BUILD	2.300e+10	18.2
cross	ERR1203383	PE	CHAIN_EXTENSION_DP	6.062e+09	4.8
cross	ERR1203383	PE	MATE_REF_FETCH	5.220e+08	0.4
cross	ERR1203383	PE	MATE_KSW_ALIGN	2.000e+10	15.8
cross	ERR1203383	PE	KSW_QUERY_INIT_FORWARD	7.630e+08	0.6
cross	ERR1203383	PE	KSW_DP_FORWARD	1.600e+10	12.6
cross	ERR1203383	PE	KSW_QUERY_INIT_REVERSE	3.890e+08	0.3
cross	ERR1203383	PE	KSW_DP_REVERSE	2.155e+09	1.7
cross	ERR1203383	PE	MATE_DEDUP	8.896e+09	7.0
cross	ERR1203383	PE	DEDUP_SORT_END	3.129e+09	2.5
cross	ERR1203383	PE	DEDUP_REDUNDANCY	6.670e+08	0.5
cross	ERR1203383	PE	DEDUP_SORT_SCORE	4.925e+09	3.9
cross	ERR1203383	PE	MEM_COLLECT_FIRST	1.200e+10	9.5
cross	ERR1203383	PE	MEM_COLLECT_SPLIT	1.100e+10	8.7
cross	ERR1203383	PE	MEM_COLLECT_LAST	8.511e+09	6.7
cross	ERR1203383	PE	MEM_COLLECT_SORT	2.902e+09	2.3
cross	ERR1203383	PE	CHAIN_BUILD_REPETITIVE	6.300e+07	0.0
cross	ERR1203383	PE	CHAIN_BUILD_SA	1.600e+10	12.6
cross	ERR1203383	PE	CHAIN_BUILD_RID	1.426e+09	1.1
cross	ERR1203383	PE	CHAIN_BUILD_TREE_SEARCH	3.390e+08	0.3
cross	ERR1203383	PE	CHAIN_BUILD_MERGE	1.410e+08	0.1
cross	ERR1203383	PE	CHAIN_BUILD_INSERT	1.483e+09	1.2
cross	ERR1203383	PE	CHAIN_BUILD_FINALIZE	3.157e+09	2.5
cross	ERR1203383	SE	WORKER_ALIGNMENT	5.200e+10	97.7
cross	ERR1203383	SE	MEM_CHAIN	3.400e+10	63.9
cross	ERR1203383	SE	CHAIN_FILTER	2.384e+09	4.5
cross	ERR1203383	SE	CHAIN_EXTENSION	7.538e+09	14.2
cross	ERR1203383	SE	ALIGNMENT_FINALIZE	1.290e+09	2.4
cross	ERR1203383	SE	MATE_RESCUE	0.000e+00	0.0
cross	ERR1203383	SE	PAIRING	0.000e+00	0.0
cross	ERR1203383	SE	SAM_FORMAT	5.863e+09	11.0
cross	ERR1203383	SE	SAM_COPY	1.212e+09	2.3
cross	ERR1203383	SE	MEM_CHAIN_COLLECT	2.000e+10	37.6
cross	ERR1203383	SE	MEM_CHAIN_BUILD	1.400e+10	26.3
cross	ERR1203383	SE	CHAIN_EXTENSION_DP	3.020e+09	5.7
cross	ERR1203383	SE	MATE_REF_FETCH	0.000e+00	0.0
cross	ERR1203383	SE	MATE_KSW_ALIGN	0.000e+00	0.0
cross	ERR1203383	SE	KSW_QUERY_INIT_FORWARD	0.000e+00	0.0
cross	ERR1203383	SE	KSW_DP_FORWARD	0.000e+00	0.0
cross	ERR1203383	SE	KSW_QUERY_INIT_REVERSE	0.000e+00	0.0
cross	ERR1203383	SE	KSW_DP_REVERSE	0.000e+00	0.0
cross	ERR1203383	SE	MATE_DEDUP	0.000e+00	0.0
cross	ERR1203383	SE	DEDUP_SORT_END	0.000e+00	0.0
cross	ERR1203383	SE	DEDUP_REDUNDANCY	0.000e+00	0.0
cross	ERR1203383	SE	DEDUP_SORT_SCORE	0.000e+00	0.0
cross	ERR1203383	SE	MEM_COLLECT_FIRST	6.930e+09	13.0
cross	ERR1203383	SE	MEM_COLLECT_SPLIT	6.018e+09	11.3
cross	ERR1203383	SE	MEM_COLLECT_LAST	4.767e+09	9.0
cross	ERR1203383	SE	MEM_COLLECT_SORT	1.925e+09	3.6
cross	ERR1203383	SE	CHAIN_BUILD_REPETITIVE	6.600e+07	0.1
cross	ERR1203383	SE	CHAIN_BUILD_SA	9.456e+09	17.8
cross	ERR1203383	SE	CHAIN_BUILD_RID	7.360e+08	1.4
cross	ERR1203383	SE	CHAIN_BUILD_TREE_SEARCH	2.360e+08	0.4
cross	ERR1203383	SE	CHAIN_BUILD_MERGE	8.900e+07	0.2
cross	ERR1203383	SE	CHAIN_BUILD_INSERT	8.010e+08	1.5
cross	ERR1203383	SE	CHAIN_BUILD_FINALIZE	1.980e+09	3.7
cross	SRR2496709	PE	WORKER_ALIGNMENT	1.220e+11	98.9
cross	SRR2496709	PE	MEM_CHAIN	6.200e+10	50.3
cross	SRR2496709	PE	CHAIN_FILTER	3.649e+09	3.0
cross	SRR2496709	PE	CHAIN_EXTENSION	1.800e+10	14.6
cross	SRR2496709	PE	ALIGNMENT_FINALIZE	2.054e+09	1.7
cross	SRR2496709	PE	MATE_RESCUE	2.400e+10	19.5
cross	SRR2496709	PE	PAIRING	1.066e+09	0.9
cross	SRR2496709	PE	SAM_FORMAT	3.600e+10	29.2
cross	SRR2496709	PE	SAM_COPY	1.321e+09	1.1
cross	SRR2496709	PE	MEM_CHAIN_COLLECT	3.700e+10	30.0
cross	SRR2496709	PE	MEM_CHAIN_BUILD	2.400e+10	19.5
cross	SRR2496709	PE	CHAIN_EXTENSION_DP	1.100e+10	8.9
cross	SRR2496709	PE	MATE_REF_FETCH	3.660e+08	0.3
cross	SRR2496709	PE	MATE_KSW_ALIGN	1.800e+10	14.6
cross	SRR2496709	PE	KSW_QUERY_INIT_FORWARD	6.180e+08	0.5
cross	SRR2496709	PE	KSW_DP_FORWARD	1.500e+10	12.2
cross	SRR2496709	PE	KSW_QUERY_INIT_REVERSE	2.460e+08	0.2
cross	SRR2496709	PE	KSW_DP_REVERSE	2.046e+09	1.7
cross	SRR2496709	PE	MATE_DEDUP	4.001e+09	3.2
cross	SRR2496709	PE	DEDUP_SORT_END	1.415e+09	1.1
cross	SRR2496709	PE	DEDUP_REDUNDANCY	3.480e+08	0.3
cross	SRR2496709	PE	DEDUP_SORT_SCORE	2.145e+09	1.7
cross	SRR2496709	PE	MEM_COLLECT_FIRST	1.500e+10	12.2
cross	SRR2496709	PE	MEM_COLLECT_SPLIT	1.000e+10	8.1
cross	SRR2496709	PE	MEM_COLLECT_LAST	9.705e+09	7.9
cross	SRR2496709	PE	MEM_COLLECT_SORT	2.380e+09	1.9
cross	SRR2496709	PE	CHAIN_BUILD_REPETITIVE	5.800e+07	0.0
cross	SRR2496709	PE	CHAIN_BUILD_SA	1.700e+10	13.8
cross	SRR2496709	PE	CHAIN_BUILD_RID	1.465e+09	1.2
cross	SRR2496709	PE	CHAIN_BUILD_TREE_SEARCH	3.510e+08	0.3
cross	SRR2496709	PE	CHAIN_BUILD_MERGE	1.490e+08	0.1
cross	SRR2496709	PE	CHAIN_BUILD_INSERT	1.264e+09	1.0
cross	SRR2496709	PE	CHAIN_BUILD_FINALIZE	2.763e+09	2.2
cross	SRR2496709	SE	WORKER_ALIGNMENT	5.100e+10	98.0
cross	SRR2496709	SE	MEM_CHAIN	3.300e+10	63.4
cross	SRR2496709	SE	CHAIN_FILTER	1.737e+09	3.3
cross	SRR2496709	SE	CHAIN_EXTENSION	8.579e+09	16.5
cross	SRR2496709	SE	ALIGNMENT_FINALIZE	1.096e+09	2.1
cross	SRR2496709	SE	MATE_RESCUE	0.000e+00	0.0
cross	SRR2496709	SE	PAIRING	0.000e+00	0.0
cross	SRR2496709	SE	SAM_FORMAT	5.573e+09	10.7
cross	SRR2496709	SE	SAM_COPY	1.048e+09	2.0
cross	SRR2496709	SE	MEM_CHAIN_COLLECT	2.000e+10	38.4
cross	SRR2496709	SE	MEM_CHAIN_BUILD	1.300e+10	25.0
cross	SRR2496709	SE	CHAIN_EXTENSION_DP	5.002e+09	9.6
