variant=new_p   denominator = WORKER_ALIGNMENT + SAM_COPY
child regions are SUBSETS of their parent; do not sum rows

| region | cross/ERR1203383/PE | cross/ERR1203383/SE | cross/SRR2496709/PE | cross/SRR2496709/SE | cross/small_SRR7963242/PE | cross/small_SRR7963242/SE | single/ERR1203383/PE | single/ERR1203383/SE | single/SRR2496709/PE | single/SRR2496709/SE | single/small_SRR7963242/PE | single/small_SRR7963242/SE |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| WORKER_ALIGNMENT | 98.8% | 97.7% | 98.9% | 98.0% | 99.7% | 99.1% | 99.1% | 98.7% | 99.2% | 98.8% | 99.8% | 99.5% |
|    MEM_CHAIN | 46.6% | 63.9% | 50.3% | 63.4% | 25.9% | 49.6% | 48.1% | 67.1% | 50.9% | 65.9% | 27.1% | 51.9% |
|       MEM_CHAIN_COLLECT | 26.9% | 37.6% | 30.0% | 38.4% | 12.4% | 23.8% | 27.3% | 37.4% | 30.2% | 38.6% | 12.3% | 23.4% |
|          MEM_COLLECT_FIRST | 9.5% | 13.0% | 12.2% | 15.3% | 4.4% | 8.3% | 9.7% | 13.5% | 12.5% | 15.5% | 4.4% | 8.4% |
|          MEM_COLLECT_SPLIT | 8.7% | 11.3% | 8.1% | 10.3% | 4.7% | 8.6% | 9.7% | 12.7% | 8.9% | 11.4% | 4.9% | 8.9% |
|          MEM_COLLECT_LAST | 6.7% | 9.0% | 7.9% | 10.0% | 2.7% | 5.5% | 7.0% | 9.6% | 7.9% | 10.6% | 2.7% | 5.4% |
|          MEM_COLLECT_SORT | 2.3% | 3.6% | 1.9% | 2.7% | 0.4% | 0.9% | 0.7% | 1.0% | 0.7% | 1.0% | 0.3% | 0.5% |
|       MEM_CHAIN_BUILD | 18.2% | 26.3% | 19.5% | 25.0% | 13.5% | 25.8% | 20.1% | 28.5% | 20.1% | 26.5% | 14.7% | 28.2% |
|          CHAIN_BUILD_REPETITIVE | 0.0% | 0.1% | 0.0% | 0.1% | 0.0% | 0.0% | 0.1% | 0.2% | 0.1% | 0.1% | 0.0% | 0.0% |
|          CHAIN_BUILD_SA | 12.6% | 17.8% | 13.8% | 17.6% | 9.9% | 18.6% | 13.8% | 19.3% | 14.3% | 18.5% | 10.0% | 19.1% |
|          CHAIN_BUILD_RID | 1.1% | 1.4% | 1.2% | 1.4% | 0.8% | 1.5% | 1.4% | 1.9% | 1.4% | 1.8% | 0.9% | 1.6% |
|          CHAIN_BUILD_TREE_SEARCH | 0.3% | 0.4% | 0.3% | 0.4% | 0.4% | 0.7% | 0.3% | 0.5% | 0.3% | 0.4% | 0.4% | 0.7% |
|          CHAIN_BUILD_MERGE | 0.1% | 0.2% | 0.1% | 0.2% | 0.1% | 0.2% | 0.1% | 0.2% | 0.2% | 0.2% | 0.1% | 0.2% |
|          CHAIN_BUILD_INSERT | 1.2% | 1.5% | 1.0% | 1.3% | 1.3% | 2.2% | 2.7% | 4.2% | 2.4% | 3.3% | 2.6% | 5.1% |
|          CHAIN_BUILD_FINALIZE | 2.5% | 3.7% | 2.2% | 3.0% | 0.7% | 1.5% | 1.1% | 1.6% | 1.0% | 1.4% | 0.5% | 0.9% |
|    CHAIN_FILTER | 3.8% | 4.5% | 3.0% | 3.3% | 3.9% | 6.3% | 3.9% | 5.0% | 3.0% | 3.7% | 4.2% | 7.1% |
|    CHAIN_EXTENSION | 11.1% | 14.2% | 14.6% | 16.5% | 22.0% | 34.1% | 9.7% | 12.3% | 13.7% | 16.3% | 20.8% | 32.5% |
|       CHAIN_EXTENSION_DP | 4.8% | 5.7% | 8.9% | 9.6% | 17.1% | 25.8% | 5.7% | 6.9% | 9.8% | 11.4% | 17.9% | 27.4% |
|    ALIGNMENT_FINALIZE | 1.9% | 2.4% | 1.7% | 2.1% | 1.9% | 3.1% | 1.6% | 2.2% | 1.4% | 1.8% | 1.6% | 2.5% |
|    SAM_FORMAT | 34.0% | 11.0% | 29.2% | 10.7% | 45.7% | 5.4% | 34.9% | 10.4% | 29.5% | 9.8% | 45.9% | 5.1% |
|       MATE_RESCUE | 25.3% | 0.0% | 19.5% | 0.0% | 42.4% | 0.0% | 26.8% | 0.0% | 21.3% | 0.0% | 42.9% | 0.0% |
|          MATE_REF_FETCH | 0.4% | 0.0% | 0.3% | 0.0% | 0.4% | 0.0% | 0.4% | 0.0% | 0.3% | 0.0% | 0.4% | 0.0% |
|          MATE_KSW_ALIGN | 15.8% | 0.0% | 14.6% | 0.0% | 31.4% | 0.0% | 17.5% | 0.0% | 16.4% | 0.0% | 32.4% | 0.0% |
|             KSW_QUERY_INIT_FORWARD | 0.6% | 0.0% | 0.5% | 0.0% | 0.7% | 0.0% | 0.6% | 0.0% | 0.5% | 0.0% | 0.6% | 0.0% |
|             KSW_DP_FORWARD | 12.6% | 0.0% | 12.2% | 0.0% | 22.3% | 0.0% | 14.4% | 0.0% | 13.5% | 0.0% | 23.0% | 0.0% |
|             KSW_QUERY_INIT_REVERSE | 0.3% | 0.0% | 0.2% | 0.0% | 0.5% | 0.0% | 0.3% | 0.0% | 0.2% | 0.0% | 0.5% | 0.0% |
|             KSW_DP_REVERSE | 1.7% | 0.0% | 1.7% | 0.0% | 7.7% | 0.0% | 1.9% | 0.0% | 1.8% | 0.0% | 7.9% | 0.0% |
|          MATE_DEDUP | 7.0% | 0.0% | 3.2% | 0.0% | 9.1% | 0.0% | 6.9% | 0.0% | 3.1% | 0.0% | 8.6% | 0.0% |
|             DEDUP_SORT_END | 2.5% | 0.0% | 1.1% | 0.0% | 3.3% | 0.0% | 2.2% | 0.0% | 1.1% | 0.0% | 2.9% | 0.0% |
|             DEDUP_REDUNDANCY | 0.5% | 0.0% | 0.3% | 0.0% | 1.0% | 0.0% | 0.6% | 0.0% | 0.3% | 0.0% | 0.9% | 0.0% |
|             DEDUP_SORT_SCORE | 3.9% | 0.0% | 1.7% | 0.0% | 5.0% | 0.0% | 3.9% | 0.0% | 1.8% | 0.0% | 4.6% | 0.0% |
|       PAIRING | 1.1% | 0.0% | 0.9% | 0.0% | 0.3% | 0.0% | 0.9% | 0.0% | 0.7% | 0.0% | 0.3% | 0.0% |
| SAM_COPY | 1.2% | 2.3% | 1.1% | 2.0% | 0.3% | 0.9% | 0.9% | 1.3% | 0.8% | 1.2% | 0.2% | 0.5% |
